Modelo,Pooling,out_emb_size,Nhid,CR
bert-base,CLS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(76.64), 'acc': np.float64(73.17), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(82.33), 'acc': np.float64(80.45), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(81.07), 'acc': np.float64(79.76), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(72.88), 'acc': np.float64(68.77), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(82.52), 'acc': np.float64(80.93), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(81.06), 'acc': np.float64(79.63), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(72.89), 'acc': np.float64(72.08), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(80.91), 'acc': np.float64(79.39), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(80.85), 'acc': np.float64(79.79), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.77), 'acc': np.float64(77.17), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(81.18), 'acc': np.float64(80.05), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(80.87), 'acc': np.float64(79.68), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.97), 'acc': np.float64(77.14), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-7,torch.Size([2304]),0,"{'devacc': np.float64(83.05), 'acc': np.float64(81.16), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-7,torch.Size([2304]),0,"{'devacc': np.float64(82.74), 'acc': np.float64(80.87), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-7,torch.Size([3840]),0,"{'devacc': np.float64(82.68), 'acc': np.float64(81.85), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-7,torch.Size([3840]),0,"{'devacc': np.float64(82.99), 'acc': np.float64(81.09), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(75.07), 'acc': np.float64(73.69), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(84.41), 'acc': np.float64(82.65), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(82.71), 'acc': np.float64(81.54), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(73.12), 'acc': np.float64(73.4), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(84.59), 'acc': np.float64(82.65), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(82.83), 'acc': np.float64(81.56), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(74.73), 'acc': np.float64(76.05), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(83.29), 'acc': np.float64(81.91), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(83.53), 'acc': np.float64(82.28), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(79.73), 'acc': np.float64(78.22), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(83.45), 'acc': np.float64(82.59), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),0,"{'devacc': np.float64(83.56), 'acc': np.float64(82.33), 'ndev': 3775, 'ntest': 3775}"
