Modelo,Pooling,out_emb_size,Nhid,CR
bert-base,CLS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.65), 'acc': np.float64(84.13), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(85.69), 'acc': np.float64(83.5), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.28), 'acc': np.float64(82.57), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(72.22), 'acc': np.float64(74.02), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(85.62), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.22), 'acc': np.float64(82.97), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(72.75), 'acc': np.float64(76.58), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(86.65), 'acc': np.float64(85.38), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(84.71), 'acc': np.float64(84.27), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(85.41), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(86.63), 'acc': np.float64(84.5), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(84.57), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(85.52), 'acc': np.float64(83.58), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(86.07), 'acc': np.float64(84.82), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(86.27), 'acc': np.float64(84.66), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(86.82), 'acc': np.float64(85.56), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(87.01), 'acc': np.float64(84.74), 'ndev': 3775, 'ntest': 3775}"
