Modelo,Pooling,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base-uncased,_cls_layer_1,"{'devacc': np.float64(59.17), 'acc': np.float64(58.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(73.81), 'acc': np.float64(73.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(69.84), 'acc': 67.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_pooling_1,"{'devacc': np.float64(72.42), 'acc': np.float64(71.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.38), 'acc': np.float64(89.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.11), 'acc': 76.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(72.42), 'acc': np.float64(71.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.38), 'acc': np.float64(89.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.11), 'acc': 76.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(50.92), 'acc': 49.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(26.25), 'acc': 28.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(24.36), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(50.92), 'acc': 49.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(26.25), 'acc': 28.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(24.36), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_3_tokens_mean_pooling_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(36.24), 'acc': np.float64(36.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.31), 'acc': 76.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.42), 'acc': 39.86, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(42.75), 'acc': 49.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_5_tokens_mean_pooling_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 78.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(27.97), 'acc': 26.02, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(40.7), 'acc': 39.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(36.24), 'acc': np.float64(36.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.31), 'acc': 76.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.42), 'acc': 39.86, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(42.75), 'acc': 49.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 78.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(27.97), 'acc': 26.02, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(40.7), 'acc': 39.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_cls_layer_2,"{'devacc': np.float64(62.03), 'acc': np.float64(61.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(84.43), 'acc': np.float64(83.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.69), 'acc': 74.57, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
