,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls_layer_1,nhid1,1,12,58.46,63.76,73.57,68.77,67.71,17.6,27.6,66.49,55.495000000000005,60.90857142857143
1,bert-base-uncased,_mean_pooling_1,nhid1,1,12,71.63,63.76,89.74,68.77,76.88,17.6,27.6,66.49,60.30875,66.41
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,nhid1,1,12,71.63,63.76,89.74,68.77,76.88,17.6,27.6,66.49,60.30875,66.41
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,27.6,33.51,41.832499999999996,43.71714285714285
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,27.6,33.51,41.832499999999996,43.71714285714285
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,nhid1,1,12,50.0,36.24,50.0,68.77,76.28,39.86,49.4,66.49,54.629999999999995,56.739999999999995
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,nhid1,1,12,50.0,63.76,50.0,31.23,78.03,26.02,39.8,33.51,46.543749999999996,49.47571428571428
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,36.24,50.0,68.77,76.28,39.86,49.4,66.49,54.629999999999995,56.739999999999995
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,63.76,50.0,31.23,78.03,26.02,39.8,33.51,46.543749999999996,49.47571428571428
9,bert-base-uncased,_cls_layer_2,nhid1,1,12,61.11,63.76,83.47,68.77,74.57,17.6,27.6,66.49,57.92125000000001,63.681428571428576
10,bert-base-uncased,_mean_pooling_2,nhid1,1,12,71.75,63.76,90.7,68.77,76.39,17.6,27.6,66.49,60.3825,66.49428571428571
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,nhid1,1,12,71.75,63.76,90.7,68.77,76.39,17.6,27.6,66.49,60.3825,66.49428571428571
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.6,33.51,41.707499999999996,43.574285714285715
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.6,33.51,41.707499999999996,43.574285714285715
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,nhid1,1,12,50.0,36.24,50.0,68.77,76.66,39.68,49.0,66.49,54.605,56.73714285714285
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,nhid1,1,12,50.0,63.76,50.0,31.23,77.59,27.69,40.0,33.51,46.7225,49.44142857142857
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,36.24,50.0,68.77,76.66,39.68,49.0,66.49,54.605,56.73714285714285
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,63.76,50.0,31.23,77.59,27.69,40.0,33.51,46.7225,49.44142857142857
18,bert-base-uncased,_cls_layer_3,nhid1,1,12,61.85,63.76,83.58,68.77,74.74,17.6,27.6,66.49,58.048750000000005,63.82714285714286
19,bert-base-uncased,_mean_pooling_3,nhid1,1,12,72.14,63.76,91.03,68.77,76.61,17.6,27.6,66.49,60.50000000000001,66.62857142857143
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,nhid1,1,12,72.14,63.76,91.03,68.77,76.61,17.6,27.6,66.49,60.50000000000001,66.62857142857143
21,bert-base-uncased,_concat_cls_layer_with_mean_pooling_3,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.8,33.51,41.732499999999995,43.60285714285714
22,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.8,33.51,41.732499999999995,43.60285714285714
23,bert-base-uncased,_concat_3_tokens_mean_pooling_3,nhid1,1,12,50.0,36.24,50.0,68.77,77.1,20.14,45.6,66.49,51.792500000000004,56.314285714285724
24,bert-base-uncased,_concat_5_tokens_mean_pooling_3,nhid1,1,12,50.0,63.76,50.0,31.23,77.7,27.65,39.6,33.51,46.68125,49.4
25,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,36.24,50.0,68.77,77.1,20.14,45.6,66.49,51.792500000000004,56.314285714285724
26,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,63.76,50.0,31.23,77.7,27.65,39.6,33.51,46.68125,49.4
27,bert-base-uncased,_cls_layer_4,nhid1,1,12,66.87,63.76,88.87,68.77,75.62,17.6,27.6,66.49,59.447500000000005,65.42571428571429
28,bert-base-uncased,_mean_pooling_4,nhid1,1,12,71.88,63.76,90.88,68.77,77.16,17.6,27.6,66.49,60.5175,66.64857142857143
29,bert-base-uncased,_mean_pooling_no_cls_and_sep_4,nhid1,1,12,71.88,63.76,90.88,68.77,77.16,17.6,27.6,66.49,60.5175,66.64857142857143
30,bert-base-uncased,_concat_cls_layer_with_mean_pooling_4,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.4,33.51,41.43249999999999,43.25999999999999
31,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.4,33.51,41.43249999999999,43.25999999999999
32,bert-base-uncased,_concat_3_tokens_mean_pooling_4,nhid1,1,12,50.0,36.24,50.0,68.77,77.76,21.81,46.2,66.49,52.15875,56.49428571428571
33,bert-base-uncased,_concat_5_tokens_mean_pooling_4,nhid1,1,12,50.0,63.76,50.0,31.23,78.09,27.69,40.0,33.51,46.785,49.512857142857136
34,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,36.24,50.0,68.77,77.76,21.81,46.2,66.49,52.15875,56.49428571428571
35,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,63.76,50.0,31.23,78.09,27.69,40.0,33.51,46.785,49.512857142857136
36,bert-base-uncased,_cls_layer_5,nhid1,1,12,67.32,63.76,90.47,68.77,76.11,17.6,27.6,66.49,59.76500000000001,65.78857142857143
37,bert-base-uncased,_mean_pooling_5,nhid1,1,12,73.33,63.76,92.12,68.77,78.09,17.6,27.6,66.49,60.97000000000001,67.1657142857143
38,bert-base-uncased,_mean_pooling_no_cls_and_sep_5,nhid1,1,12,73.33,63.76,92.12,68.77,78.09,17.6,27.6,66.49,60.97000000000001,67.1657142857143
39,bert-base-uncased,_concat_cls_layer_with_mean_pooling_5,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.6,33.51,41.457499999999996,43.28857142857142
40,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.6,33.51,41.457499999999996,43.28857142857142
41,bert-base-uncased,_concat_3_tokens_mean_pooling_5,nhid1,1,12,50.0,36.24,50.0,68.77,78.58,38.82,49.0,66.49,54.7375,57.01142857142857
42,bert-base-uncased,_concat_5_tokens_mean_pooling_5,nhid1,1,12,50.0,63.76,50.0,31.23,77.81,27.78,39.8,33.51,46.73624999999999,49.444285714285705
43,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,36.24,50.0,68.77,78.58,38.82,49.0,66.49,54.7375,57.01142857142857
44,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,63.76,50.0,31.23,77.81,27.78,39.8,33.51,46.73624999999999,49.444285714285705
45,bert-base-uncased,_cls_layer_6,nhid1,1,12,69.69,63.76,91.52,68.77,81.05,17.6,27.6,66.49,60.81,66.98285714285714
