,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls_layer_1,nhid1,1,12,59.17,63.76,73.81,68.77,69.84,20.8,21.31,67.54,55.62500000000001,60.60000000000001
1,bert-base-uncased,_mean_pooling_1,nhid1,1,12,72.42,63.76,90.38,68.77,75.11,20.8,21.31,67.54,60.011250000000004,65.61285714285715
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,nhid1,1,12,72.42,63.76,90.38,68.77,75.11,20.8,21.31,67.54,60.011250000000004,65.61285714285715
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.36,32.46,41.122499999999995,43.247142857142855
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.36,32.46,41.122499999999995,43.247142857142855
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,nhid1,1,12,50.0,36.24,50.0,68.77,74.31,39.42,42.75,67.54,53.628750000000004,55.65857142857143
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,nhid1,1,12,50.0,63.76,50.0,31.23,75.46,27.97,40.7,32.46,46.44749999999999,49.08714285714285
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,36.24,50.0,68.77,74.31,39.42,42.75,67.54,53.628750000000004,55.65857142857143
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,nhid1,1,12,50.0,63.76,50.0,31.23,75.46,27.97,40.7,32.46,46.44749999999999,49.08714285714285
9,bert-base-uncased,_cls_layer_2,nhid1,1,12,62.03,63.76,84.43,68.77,75.69,20.8,21.31,67.54,58.041250000000005,63.361428571428576
10,bert-base-uncased,_mean_pooling_2,nhid1,1,12,73.31,63.76,91.49,68.77,74.2,20.8,21.31,67.54,60.1475,65.76857142857143
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,nhid1,1,12,73.31,63.76,91.49,68.77,74.2,20.8,21.31,67.54,60.1475,65.76857142857143
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,25.15,32.46,41.22124999999999,43.35999999999999
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,25.15,32.46,41.22124999999999,43.35999999999999
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,nhid1,1,12,50.0,36.24,50.0,68.77,76.03,39.6,41.76,67.54,53.7425,55.762857142857136
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,nhid1,1,12,50.0,63.76,50.0,31.23,76.49,27.79,41.14,32.46,46.60874999999999,49.297142857142845
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,36.24,50.0,68.77,76.03,39.6,41.76,67.54,53.7425,55.762857142857136
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,nhid1,1,12,50.0,63.76,50.0,31.23,76.49,27.79,41.14,32.46,46.60874999999999,49.297142857142845
18,bert-base-uncased,_cls_layer_3,nhid1,1,12,62.27,63.76,84.38,68.77,75.46,20.8,21.31,67.54,58.03625,63.355714285714285
19,bert-base-uncased,_mean_pooling_3,nhid1,1,12,73.4,63.76,91.58,68.77,75.23,20.8,21.31,67.54,60.298750000000005,65.94142857142857
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,nhid1,1,12,73.4,63.76,91.58,68.77,75.23,20.8,21.31,67.54,60.298750000000005,65.94142857142857
21,bert-base-uncased,_concat_cls_layer_with_mean_pooling_3,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.47,32.46,41.13625,43.262857142857136
22,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.47,32.46,41.13625,43.262857142857136
23,bert-base-uncased,_concat_3_tokens_mean_pooling_3,nhid1,1,12,50.0,36.24,50.0,68.77,76.49,19.89,45.54,67.54,51.80875,56.368571428571435
24,bert-base-uncased,_concat_5_tokens_mean_pooling_3,nhid1,1,12,50.0,63.76,50.0,31.23,77.06,28.34,41.21,32.46,46.757499999999986,49.38857142857142
25,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,36.24,50.0,68.77,76.49,19.89,45.54,67.54,51.80875,56.368571428571435
26,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_3,nhid1,1,12,50.0,63.76,50.0,31.23,77.06,28.34,41.21,32.46,46.757499999999986,49.38857142857142
27,bert-base-uncased,_cls_layer_4,nhid1,1,12,68.03,63.76,89.52,68.77,76.38,20.8,21.31,67.54,59.51375,65.04428571428572
28,bert-base-uncased,_mean_pooling_4,nhid1,1,12,73.54,63.76,92.17,68.77,76.15,20.8,21.31,67.54,60.505,66.17714285714285
29,bert-base-uncased,_mean_pooling_no_cls_and_sep_4,nhid1,1,12,73.54,63.76,92.17,68.77,76.15,20.8,21.31,67.54,60.505,66.17714285714285
30,bert-base-uncased,_concat_cls_layer_with_mean_pooling_4,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,23.51,32.46,41.01624999999999,43.125714285714274
31,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,23.51,32.46,41.01624999999999,43.125714285714274
32,bert-base-uncased,_concat_3_tokens_mean_pooling_4,nhid1,1,12,50.0,36.24,50.0,68.77,77.98,20.25,46.94,67.54,52.215,56.78142857142858
33,bert-base-uncased,_concat_5_tokens_mean_pooling_4,nhid1,1,12,50.0,63.76,50.0,31.23,78.78,28.43,41.42,32.46,47.01,49.66428571428571
34,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,36.24,50.0,68.77,77.98,20.25,46.94,67.54,52.215,56.78142857142858
35,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_4,nhid1,1,12,50.0,63.76,50.0,31.23,78.78,28.43,41.42,32.46,47.01,49.66428571428571
36,bert-base-uncased,_cls_layer_5,nhid1,1,12,68.29,63.76,91.31,68.77,76.38,20.8,21.31,67.54,59.77,65.33714285714287
37,bert-base-uncased,_mean_pooling_5,nhid1,1,12,75.17,63.76,93.09,68.77,78.56,20.8,21.31,67.54,61.12500000000001,66.88571428571429
38,bert-base-uncased,_mean_pooling_no_cls_and_sep_5,nhid1,1,12,75.17,63.76,93.09,68.77,78.56,20.8,21.31,67.54,61.12500000000001,66.88571428571429
39,bert-base-uncased,_concat_cls_layer_with_mean_pooling_5,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.27,32.46,41.11124999999999,43.234285714285704
40,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.27,32.46,41.11124999999999,43.234285714285704
41,bert-base-uncased,_concat_3_tokens_mean_pooling_5,nhid1,1,12,50.0,36.24,50.0,68.77,79.82,33.97,46.02,67.57,54.04874999999999,56.91714285714285
42,bert-base-uncased,_concat_5_tokens_mean_pooling_5,nhid1,1,12,50.0,63.76,50.0,31.23,79.24,29.06,41.6,32.46,47.168749999999996,49.755714285714284
43,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,36.24,50.0,68.77,79.82,33.97,46.02,67.57,54.04874999999999,56.91714285714285
44,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_5,nhid1,1,12,50.0,63.76,50.0,31.23,79.24,29.06,41.6,32.46,47.168749999999996,49.755714285714284
45,bert-base-uncased,_cls_layer_6,nhid1,1,12,71.17,63.76,92.4,68.77,81.88,20.8,21.31,67.54,60.95375000000001,66.69000000000001
46,bert-base-uncased,_mean_pooling_6,nhid1,1,12,76.21,63.76,93.56,68.77,79.93,20.8,21.31,67.54,61.48500000000001,67.29714285714286
47,bert-base-uncased,_mean_pooling_no_cls_and_sep_6,nhid1,1,12,76.21,63.76,93.56,68.77,79.93,20.8,21.31,67.54,61.48500000000001,67.29714285714286
48,bert-base-uncased,_concat_cls_layer_with_mean_pooling_6,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.89,32.46,41.18874999999999,43.32285714285713
49,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_6,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.89,32.46,41.18874999999999,43.32285714285713
50,bert-base-uncased,_concat_3_tokens_mean_pooling_6,nhid1,1,12,50.0,36.24,50.0,68.77,79.82,38.78,47.51,67.54,54.8325,57.12571428571429
51,bert-base-uncased,_concat_5_tokens_mean_pooling_6,nhid1,1,12,50.0,63.76,50.0,31.23,80.16,29.06,41.45,32.46,47.26499999999999,49.865714285714276
52,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_6,nhid1,1,12,50.0,36.24,50.0,68.77,79.82,38.78,47.51,67.54,54.8325,57.12571428571429
53,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_6,nhid1,1,12,50.0,63.76,50.0,31.23,80.16,29.06,41.45,32.46,47.26499999999999,49.865714285714276
54,bert-base-uncased,_cls_layer_7,nhid1,1,12,74.76,64.78,93.18,68.77,82.45,20.8,21.31,67.54,61.698750000000004,67.54142857142857
55,bert-base-uncased,_mean_pooling_7,nhid1,1,12,77.21,63.76,93.95,68.77,80.73,26.88,21.31,67.54,62.518750000000004,67.61
56,bert-base-uncased,_mean_pooling_no_cls_and_sep_7,nhid1,1,12,77.21,63.76,93.95,68.77,80.73,26.88,21.31,67.54,62.518750000000004,67.61
57,bert-base-uncased,_concat_cls_layer_with_mean_pooling_7,nhid1,1,12,50.0,63.76,50.0,31.23,79.59,26.25,27.24,32.46,45.06625,47.75428571428571
58,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_7,nhid1,1,12,50.0,63.76,50.0,31.23,79.59,26.25,27.24,32.46,45.06625,47.75428571428571
59,bert-base-uncased,_concat_3_tokens_mean_pooling_7,nhid1,1,12,50.0,36.24,50.0,68.77,81.31,40.24,47.32,67.54,55.1775,57.31142857142857
60,bert-base-uncased,_concat_5_tokens_mean_pooling_7,nhid1,1,12,50.0,63.76,50.0,31.23,80.39,28.88,41.8,32.46,47.315,49.94857142857143
61,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_7,nhid1,1,12,50.0,36.24,50.0,68.77,81.31,40.24,47.32,67.54,55.1775,57.31142857142857
62,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_7,nhid1,1,12,50.0,63.76,50.0,31.23,80.39,28.88,41.8,32.46,47.315,49.94857142857143
63,bert-base-uncased,_cls_layer_8,nhid1,1,12,75.72,63.77,92.87,68.77,84.75,20.8,21.31,67.54,61.941250000000004,67.81857142857143
64,bert-base-uncased,_mean_pooling_8,nhid1,1,12,78.76,63.76,94.05,68.77,82.45,27.88,21.31,67.54,63.065,68.09142857142857
65,bert-base-uncased,_mean_pooling_no_cls_and_sep_8,nhid1,1,12,78.76,63.76,94.05,68.77,82.45,27.88,21.31,67.54,63.065,68.09142857142857
66,bert-base-uncased,_concat_cls_layer_with_mean_pooling_8,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,26.1,32.46,41.339999999999996,43.49571428571428
67,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_8,nhid1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,26.1,32.46,41.339999999999996,43.49571428571428
68,bert-base-uncased,_concat_3_tokens_mean_pooling_8,nhid1,1,12,50.0,36.24,50.0,68.77,82.45,41.05,44.79,67.93,55.15375,57.16857142857143
69,bert-base-uncased,_concat_5_tokens_mean_pooling_8,nhid1,1,12,50.0,63.76,50.0,31.23,82.57,28.79,41.91,32.46,47.589999999999996,50.27571428571427
70,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_8,nhid1,1,12,50.0,36.24,50.0,68.77,82.45,41.05,44.79,67.93,55.15375,57.16857142857143
71,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_8,nhid1,1,12,50.0,63.76,50.0,31.23,82.57,28.79,41.91,32.46,47.589999999999996,50.27571428571427
72,bert-base-uncased,_cls_layer_9,nhid1,1,12,79.56,67.08,93.64,68.77,84.52,20.8,21.31,67.54,62.902499999999996,68.91714285714285
73,bert-base-uncased,_mean_pooling_9,nhid1,1,12,80.65,66.32,94.36,68.77,86.12,29.16,21.31,67.54,64.27875,69.29571428571428
74,bert-base-uncased,_mean_pooling_no_cls_and_sep_9,nhid1,1,12,80.65,66.32,94.36,68.77,86.12,29.16,21.31,67.54,64.27875,69.29571428571428
75,bert-base-uncased,_concat_cls_layer_with_mean_pooling_9,nhid1,1,12,50.0,63.76,50.0,31.23,85.32,26.25,29.22,32.46,46.029999999999994,48.85571428571428
76,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_9,nhid1,1,12,50.0,63.76,50.0,31.23,85.32,26.25,29.22,32.46,46.029999999999994,48.85571428571428
77,bert-base-uncased,_concat_3_tokens_mean_pooling_9,nhid1,1,12,50.0,36.24,50.0,68.77,85.89,42.23,46.26,68.03,55.927499999999995,57.8842857142857
78,bert-base-uncased,_concat_5_tokens_mean_pooling_9,nhid1,1,12,50.0,63.76,50.0,31.23,86.01,28.52,41.86,32.46,47.98,50.76
79,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_9,nhid1,1,12,50.0,36.24,50.0,68.77,85.89,42.23,46.26,68.03,55.927499999999995,57.8842857142857
80,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_9,nhid1,1,12,50.0,63.76,50.0,31.23,86.01,28.52,41.86,32.46,47.98,50.76
81,bert-base-uncased,_cls_layer_10,nhid1,1,12,80.9,74.4,94.12,68.77,87.04,20.8,21.31,67.54,64.36,70.58285714285715
82,bert-base-uncased,_mean_pooling_10,nhid1,1,12,81.4,77.32,94.33,87.41,86.7,28.79,21.31,67.54,68.10000000000001,73.71571428571428
83,bert-base-uncased,_mean_pooling_no_cls_and_sep_10,nhid1,1,12,81.4,77.32,94.33,87.41,86.7,28.79,21.31,67.54,68.10000000000001,73.71571428571428
84,bert-base-uncased,_concat_cls_layer_with_mean_pooling_10,nhid1,1,12,50.0,63.76,50.0,31.23,87.04,26.25,29.48,32.46,46.277499999999996,49.138571428571424
85,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_10,nhid1,1,12,50.0,63.76,50.0,31.23,87.04,26.25,29.48,32.46,46.277499999999996,49.138571428571424
86,bert-base-uncased,_concat_3_tokens_mean_pooling_10,nhid1,1,12,50.0,36.24,50.0,68.77,86.81,44.05,42.17,69.41,55.931250000000006,57.628571428571426
87,bert-base-uncased,_concat_5_tokens_mean_pooling_10,nhid1,1,12,50.0,63.76,50.0,31.23,86.47,28.7,41.82,32.46,48.05499999999999,50.81999999999999
88,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_10,nhid1,1,12,50.0,36.24,50.0,68.77,86.81,44.05,42.17,69.41,55.931250000000006,57.628571428571426
89,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_10,nhid1,1,12,50.0,63.76,50.0,31.23,86.47,28.7,41.82,32.46,48.05499999999999,50.81999999999999
90,bert-base-uncased,_cls_layer_11,nhid1,1,12,81.6,74.36,94.53,69.34,86.24,20.8,21.31,67.54,64.465,70.70285714285714
91,bert-base-uncased,_mean_pooling_11,nhid1,1,12,80.87,77.62,94.41,87.58,87.04,28.52,21.31,67.54,68.11125,73.76714285714286
92,bert-base-uncased,_mean_pooling_no_cls_and_sep_11,nhid1,1,12,80.87,77.62,94.41,87.58,87.04,28.52,21.31,67.54,68.11125,73.76714285714286
93,bert-base-uncased,_concat_cls_layer_with_mean_pooling_11,nhid1,1,12,50.0,63.76,50.0,31.23,87.96,26.25,29.95,32.46,46.451249999999995,49.33714285714285
94,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_11,nhid1,1,12,50.0,63.76,50.0,31.23,87.96,26.25,29.95,32.46,46.451249999999995,49.33714285714285
95,bert-base-uncased,_concat_3_tokens_mean_pooling_11,nhid1,1,12,50.0,36.24,50.0,68.77,86.81,43.23,44.19,68.03,55.90875,57.71999999999999
96,bert-base-uncased,_concat_5_tokens_mean_pooling_11,nhid1,1,12,50.0,63.76,50.0,31.23,86.24,28.7,41.87,32.46,48.03249999999999,50.79428571428571
97,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_11,nhid1,1,12,50.0,36.24,50.0,68.77,86.81,43.23,44.19,68.03,55.90875,57.71999999999999
98,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_11,nhid1,1,12,50.0,63.76,50.0,31.23,86.24,28.7,41.87,32.46,48.03249999999999,50.79428571428571
99,bert-base-uncased,_cls_layer_12,nhid1,1,12,80.62,73.09,94.5,68.77,87.16,20.8,21.31,67.54,64.22375,70.42714285714285
100,bert-base-uncased,_mean_pooling_12,nhid1,1,12,80.12,63.76,94.29,68.77,86.24,20.8,21.31,67.54,62.853750000000005,68.86142857142858
101,bert-base-uncased,_mean_pooling_no_cls_and_sep_12,nhid1,1,12,80.12,63.76,94.29,68.77,86.24,20.8,21.31,67.54,62.853750000000005,68.86142857142858
102,bert-base-uncased,_concat_cls_layer_with_mean_pooling_12,nhid1,1,12,50.0,63.76,50.0,31.23,86.93,26.25,26.91,32.46,45.942499999999995,48.755714285714284
103,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_12,nhid1,1,12,50.0,63.76,50.0,31.23,86.93,26.25,26.91,32.46,45.942499999999995,48.755714285714284
104,bert-base-uncased,_concat_3_tokens_mean_pooling_12,nhid1,1,12,50.0,36.24,50.0,68.77,85.09,42.14,46.53,67.54,55.78875,57.73857142857143
105,bert-base-uncased,_concat_5_tokens_mean_pooling_12,nhid1,1,12,50.0,63.76,50.0,31.23,85.21,28.88,41.64,32.46,47.897499999999994,50.61428571428571
