,Modelo,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls_layer_1,1,12,60.82,63.76,77.98,68.78,69.61,30.79,47.25,67.71,60.837500000000006,65.13000000000001
1,bert-base-uncased,_mean_pooling_1,1,12,74.03,77.52,91.25,88.29,74.89,41.69,74.83,73.28,74.4725,79.1557142857143
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,1,12,74.03,77.52,91.25,88.29,74.89,41.69,74.83,73.28,74.4725,79.1557142857143
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,1,12,73.78,73.14,91.0,88.33,74.2,40.69,73.92,71.2,73.2825,77.93857142857144
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,1,12,73.78,73.14,91.0,88.33,74.2,40.69,73.92,71.2,73.2825,77.93857142857144
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,1,12,75.58,78.51,92.63,89.17,75.34,42.05,82.83,71.61,75.965,80.80999999999999
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,1,12,75.78,78.81,92.84,88.66,76.15,39.33,83.97,71.27,75.85125,81.06857142857143
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,1,12,75.58,78.51,92.63,89.17,75.34,42.05,82.83,71.61,75.965,80.80999999999999
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,1,12,75.78,78.81,92.84,88.66,76.15,39.33,83.97,71.27,75.85125,81.06857142857143
9,bert-base-uncased,_cls_layer_2,1,12,65.17,63.77,87.12,68.81,75.46,33.33,50.79,68.38,64.10374999999999,68.5
10,bert-base-uncased,_mean_pooling_2,1,12,74.77,78.44,92.08,88.61,74.54,41.87,76.36,71.86,74.81625,79.52285714285713
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,1,12,74.77,78.44,92.08,88.61,74.54,41.87,76.36,71.86,74.81625,79.52285714285713
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,1,12,74.32,73.27,92.01,88.53,73.97,41.14,76.43,70.34,73.75125000000001,78.41
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,1,12,74.32,73.27,92.01,88.53,73.97,41.14,76.43,70.34,73.75125000000001,78.41
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,1,12,75.74,79.52,93.36,89.18,76.61,41.24,83.79,71.61,76.38125000000001,81.40142857142858
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,1,12,76.03,79.6,93.51,88.35,77.18,40.42,85.05,71.05,76.39874999999999,81.53857142857143
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,1,12,75.74,79.52,93.36,89.18,76.61,41.24,83.79,71.61,76.38125000000001,81.40142857142858
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,1,12,76.03,79.6,93.51,88.35,77.18,40.42,85.05,71.05,76.39874999999999,81.53857142857143
18,bert-base-uncased,_cls_layer_3,1,12,65.04,63.76,87.65,68.83,76.49,32.33,47.63,67.79,63.690000000000005,68.17
19,bert-base-uncased,_mean_pooling_3,1,12,75.08,78.01,92.41,88.32,75.11,41.24,77.4,71.86,74.92875000000001,79.74142857142859
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,1,12,75.08,78.01,92.41,88.32,75.11,41.24,77.4,71.86,74.92875000000001,79.74142857142859
