Modelo,Pooling,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness
bert-base-uncased,_cls_layer_1,"{'pearson': {'mean': np.float64(0.18132005364443887), 'wmean': np.float64(0.15173106290793512)}, 'spearman': {'mean': np.float64(0.2362693935488805), 'wmean': np.float64(0.20768000914700233)}}","{'pearson': {'mean': np.float64(0.08641869848957778), 'wmean': np.float64(0.0749245046879952)}, 'spearman': {'mean': np.float64(0.1462570000243589), 'wmean': np.float64(0.14558412329754986)}}","{'pearson': {'mean': np.float64(0.11179417661763834), 'wmean': np.float64(0.09732408426298264)}, 'spearman': {'mean': np.float64(0.2054515186603337), 'wmean': np.float64(0.18664053221181964)}}","{'pearson': {'mean': np.float64(0.10757554808550303), 'wmean': np.float64(0.11232568855744453)}, 'spearman': {'mean': np.float64(0.2237718073912942), 'wmean': np.float64(0.23900268103077674)}}","{'pearson': {'mean': np.float64(0.09442792368912496), 'wmean': np.float64(0.10075148109829093)}, 'spearman': {'mean': np.float64(0.2877015073750039), 'wmean': np.float64(0.2991650311930429)}}","{'devpearson': np.float64(0.5467023519606435), 'pearson': np.float64(0.4806022435477739), 'spearman': np.float64(0.4682456217017445), 'mse': 2.0138668804059696, 'yhat': array([1.94422099, 2.36953398, 2.48750798, ..., 3.38998575, 3.20959208,
       3.05139596]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6867686254226657), 'pearson': np.float64(0.7169558066216476), 'spearman': np.float64(0.6645818935744953), 'mse': 0.4958892037143655, 'yhat': array([3.17229136, 4.21572331, 1.52902413, ..., 3.4884736 , 4.43184004,
       4.61936639]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_mean_pooling_1,"{'pearson': {'mean': np.float64(0.4279066992414954), 'wmean': np.float64(0.4229099203258876)}, 'spearman': {'mean': np.float64(0.513241238630064), 'wmean': np.float64(0.5069902066516888)}}","{'pearson': {'mean': np.float64(0.2795770856662453), 'wmean': np.float64(0.3658567518549934)}, 'spearman': {'mean': np.float64(0.3325705017129525), 'wmean': np.float64(0.4302193801007385)}}","{'pearson': {'mean': np.float64(0.4233948256309852), 'wmean': np.float64(0.4649045564047285)}, 'spearman': {'mean': np.float64(0.4953210727301051), 'wmean': np.float64(0.5244444137108147)}}","{'pearson': {'mean': np.float64(0.4441744700471798), 'wmean': np.float64(0.5044564925122397)}, 'spearman': {'mean': np.float64(0.5071185594123029), 'wmean': np.float64(0.5602279792873973)}}","{'pearson': {'mean': np.float64(0.4615784909947361), 'wmean': np.float64(0.4664156209585616)}, 'spearman': {'mean': np.float64(0.5343208144144331), 'wmean': np.float64(0.5396498048110967)}}","{'devpearson': np.float64(0.7309766399979485), 'pearson': np.float64(0.6346556064887081), 'spearman': np.float64(0.625020490479514), 'mse': 1.4989478782952883, 'yhat': array([1.73018467, 1.1730038 , 1.93171562, ..., 3.70227608, 3.59362555,
       3.21936347]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7611208308525822), 'pearson': np.float64(0.8118939128981526), 'spearman': np.float64(0.7359701900474299), 'mse': 0.3473444653241319, 'yhat': array([3.59880604, 3.84433184, 1.19355317, ..., 3.54231077, 4.38520108,
       4.42150256]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_mean_pooling_no_cls_and_sep_1,"{'pearson': {'mean': np.float64(0.4279066992414954), 'wmean': np.float64(0.4229099203258876)}, 'spearman': {'mean': np.float64(0.513241238630064), 'wmean': np.float64(0.5069902066516888)}}","{'pearson': {'mean': np.float64(0.2795770856662453), 'wmean': np.float64(0.3658567518549934)}, 'spearman': {'mean': np.float64(0.3325705017129525), 'wmean': np.float64(0.4302193801007385)}}","{'pearson': {'mean': np.float64(0.4233948256309852), 'wmean': np.float64(0.4649045564047285)}, 'spearman': {'mean': np.float64(0.4953210727301051), 'wmean': np.float64(0.5244444137108147)}}","{'pearson': {'mean': np.float64(0.4441744700471798), 'wmean': np.float64(0.5044564925122397)}, 'spearman': {'mean': np.float64(0.5071185594123029), 'wmean': np.float64(0.5602279792873973)}}","{'pearson': {'mean': np.float64(0.4615784909947361), 'wmean': np.float64(0.4664156209585616)}, 'spearman': {'mean': np.float64(0.5343208144144331), 'wmean': np.float64(0.5396498048110967)}}","{'devpearson': np.float64(0.7309766399979485), 'pearson': np.float64(0.6346556064887081), 'spearman': np.float64(0.625020490479514), 'mse': 1.4989478782952883, 'yhat': array([1.73018467, 1.1730038 , 1.93171562, ..., 3.70227608, 3.59362555,
       3.21936347]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7611208308525822), 'pearson': np.float64(0.8118939128981526), 'spearman': np.float64(0.7359701900474299), 'mse': 0.3473444653241319, 'yhat': array([3.59880604, 3.84433184, 1.19355317, ..., 3.54231077, 4.38520108,
       4.42150256]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,"{'pearson': {'mean': np.float64(0.473182061108821), 'wmean': np.float64(0.4587960076442403)}, 'spearman': {'mean': np.float64(0.5344138905837742), 'wmean': np.float64(0.5175260738333907)}}","{'pearson': {'mean': np.float64(0.2811613067729794), 'wmean': np.float64(0.35864188253939216)}, 'spearman': {'mean': np.float64(0.32630818588528016), 'wmean': np.float64(0.40923244900782035)}}","{'pearson': {'mean': np.float64(0.4461995713084253), 'wmean': np.float64(0.4676326820155545)}, 'spearman': {'mean': np.float64(0.49159129781016125), 'wmean': np.float64(0.5077367151791722)}}","{'pearson': {'mean': np.float64(0.452738166705827), 'wmean': np.float64(0.5009569030589633)}, 'spearman': {'mean': np.float64(0.508713952107508), 'wmean': np.float64(0.5505047218668191)}}","{'pearson': {'mean': np.float64(0.43197933251286474), 'wmean': np.float64(0.4366444142341174)}, 'spearman': {'mean': np.float64(0.5202162395920721), 'wmean': np.float64(0.525445212585028)}}","{'devpearson': np.float64(0.732887878520369), 'pearson': np.float64(0.6526773515317289), 'spearman': np.float64(0.642727645404752), 'mse': 1.4904640800503968, 'yhat': array([1.99974186, 1.4324506 , 1.90431067, ..., 3.72852535, 3.61929443,
       3.20405103]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7723245196052972), 'pearson': np.float64(0.8216177843738357), 'spearman': np.float64(0.7512103742922405), 'mse': 0.33088428967583133, 'yhat': array([3.46907836, 3.9034971 , 1.12472787, ..., 3.48017423, 4.61656975,
       4.5762386 ]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,"{'pearson': {'mean': np.float64(0.473182061108821), 'wmean': np.float64(0.4587960076442403)}, 'spearman': {'mean': np.float64(0.5344138905837742), 'wmean': np.float64(0.5175260738333907)}}","{'pearson': {'mean': np.float64(0.2811613067729794), 'wmean': np.float64(0.35864188253939216)}, 'spearman': {'mean': np.float64(0.32630818588528016), 'wmean': np.float64(0.40923244900782035)}}","{'pearson': {'mean': np.float64(0.4461995713084253), 'wmean': np.float64(0.4676326820155545)}, 'spearman': {'mean': np.float64(0.49159129781016125), 'wmean': np.float64(0.5077367151791722)}}","{'pearson': {'mean': np.float64(0.452738166705827), 'wmean': np.float64(0.5009569030589633)}, 'spearman': {'mean': np.float64(0.508713952107508), 'wmean': np.float64(0.5505047218668191)}}","{'pearson': {'mean': np.float64(0.43197933251286474), 'wmean': np.float64(0.4366444142341174)}, 'spearman': {'mean': np.float64(0.5202162395920721), 'wmean': np.float64(0.525445212585028)}}","{'devpearson': np.float64(0.732887878520369), 'pearson': np.float64(0.6526773515317289), 'spearman': np.float64(0.642727645404752), 'mse': 1.4904640800503968, 'yhat': array([1.99974186, 1.4324506 , 1.90431067, ..., 3.72852535, 3.61929443,
       3.20405103]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7723245196052972), 'pearson': np.float64(0.8216177843738357), 'spearman': np.float64(0.7512103742922405), 'mse': 0.33088428967583133, 'yhat': array([3.46907836, 3.9034971 , 1.12472787, ..., 3.48017423, 4.61656975,
       4.5762386 ]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_3_tokens_mean_pooling_1,"{'pearson': {'mean': np.float64(0.3714758797971811), 'wmean': np.float64(0.3572123645277221)}, 'spearman': {'mean': np.float64(0.4369723936400952), 'wmean': np.float64(0.41553539868842665)}}","{'pearson': {'mean': np.float64(0.17991032021379214), 'wmean': np.float64(0.23803513829046533)}, 'spearman': {'mean': np.float64(0.22891234124044169), 'wmean': np.float64(0.2942246718044051)}}","{'pearson': {'mean': np.float64(0.3258905645908611), 'wmean': np.float64(0.37463635478569635)}, 'spearman': {'mean': np.float64(0.39059065916111974), 'wmean': np.float64(0.42580664584326094)}}","{'pearson': {'mean': np.float64(0.3764550819343052), 'wmean': np.float64(0.4405819277829613)}, 'spearman': {'mean': np.float64(0.41433364021890534), 'wmean': np.float64(0.47304712250612513)}}","{'pearson': {'mean': np.float64(0.3254363751177664), 'wmean': np.float64(0.33108258358252146)}, 'spearman': {'mean': np.float64(0.36372359994263026), 'wmean': np.float64(0.36980032182853695)}}","{'devpearson': np.float64(0.5843085432671749), 'pearson': np.float64(0.48810196279833273), 'spearman': np.float64(0.4808810890712115), 'mse': 1.8337765541679967, 'yhat': array([1.67294481, 1.03062276, 2.51955569, ..., 3.93908468, 3.55177256,
       3.46375445]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6808485751658839), 'pearson': np.float64(0.7297414763005263), 'spearman': np.float64(0.6414124163545595), 'mse': 0.4815996669260028, 'yhat': array([3.81338413, 3.99637218, 1.28743935, ..., 3.14443738, 4.50732414,
       4.82802205]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_5_tokens_mean_pooling_1,"{'pearson': {'mean': np.float64(0.3215980687279649), 'wmean': np.float64(0.29944442018537576)}, 'spearman': {'mean': np.float64(0.379606244032995), 'wmean': np.float64(0.35205712312383)}}","{'pearson': {'mean': np.float64(0.14736266706407816), 'wmean': np.float64(0.199391302988878)}, 'spearman': {'mean': np.float64(0.1747367631363478), 'wmean': np.float64(0.23492868320967197)}}","{'pearson': {'mean': np.float64(0.27375389060930394), 'wmean': np.float64(0.3440632154700801)}, 'spearman': {'mean': np.float64(0.2902076266769383), 'wmean': np.float64(0.3496871400817813)}}","{'pearson': {'mean': np.float64(0.3001393274886965), 'wmean': np.float64(0.35662459328390045)}, 'spearman': {'mean': np.float64(0.3091393436475308), 'wmean': np.float64(0.35797607972342066)}}","{'pearson': {'mean': np.float64(0.27580066455170427), 'wmean': np.float64(0.27795743326716327)}, 'spearman': {'mean': np.float64(0.28472785572577813), 'wmean': np.float64(0.287191979599773)}}","{'devpearson': np.float64(0.4909127998983718), 'pearson': np.float64(0.372060436571644), 'spearman': np.float64(0.3710411750196453), 'mse': 2.1347173165327424, 'yhat': array([2.87050103, 1.16120751, 2.0086469 , ..., 3.89400466, 3.63896705,
       3.83234088]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.46541308122683717), 'pearson': np.float64(0.5412111311261014), 'spearman': np.float64(0.5325012328792003), 'mse': 0.7354115329687451, 'yhat': array([3.60581876, 3.96105311, 2.16165882, ..., 3.1834683 , 3.69689321,
       4.7158068 ]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,"{'pearson': {'mean': np.float64(0.3714758797971811), 'wmean': np.float64(0.3572123645277221)}, 'spearman': {'mean': np.float64(0.4369723936400952), 'wmean': np.float64(0.41553539868842665)}}","{'pearson': {'mean': np.float64(0.17991032021379214), 'wmean': np.float64(0.23803513829046533)}, 'spearman': {'mean': np.float64(0.22891234124044169), 'wmean': np.float64(0.2942246718044051)}}","{'pearson': {'mean': np.float64(0.3258905645908611), 'wmean': np.float64(0.37463635478569635)}, 'spearman': {'mean': np.float64(0.39059065916111974), 'wmean': np.float64(0.42580664584326094)}}","{'pearson': {'mean': np.float64(0.3764550819343052), 'wmean': np.float64(0.4405819277829613)}, 'spearman': {'mean': np.float64(0.41433364021890534), 'wmean': np.float64(0.47304712250612513)}}","{'pearson': {'mean': np.float64(0.3254363751177664), 'wmean': np.float64(0.33108258358252146)}, 'spearman': {'mean': np.float64(0.36372359994263026), 'wmean': np.float64(0.36980032182853695)}}","{'devpearson': np.float64(0.5843085432671749), 'pearson': np.float64(0.48810196279833273), 'spearman': np.float64(0.4808810890712115), 'mse': 1.8337765541679967, 'yhat': array([1.67294481, 1.03062276, 2.51955569, ..., 3.93908468, 3.55177256,
       3.46375445]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.6808485751658839), 'pearson': np.float64(0.7297414763005263), 'spearman': np.float64(0.6414124163545595), 'mse': 0.4815996669260028, 'yhat': array([3.81338413, 3.99637218, 1.28743935, ..., 3.14443738, 4.50732414,
       4.82802205]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,"{'pearson': {'mean': np.float64(0.3215980687279649), 'wmean': np.float64(0.29944442018537576)}, 'spearman': {'mean': np.float64(0.379606244032995), 'wmean': np.float64(0.35205712312383)}}","{'pearson': {'mean': np.float64(0.14736266706407816), 'wmean': np.float64(0.199391302988878)}, 'spearman': {'mean': np.float64(0.1747367631363478), 'wmean': np.float64(0.23492868320967197)}}","{'pearson': {'mean': np.float64(0.27375389060930394), 'wmean': np.float64(0.3440632154700801)}, 'spearman': {'mean': np.float64(0.2902076266769383), 'wmean': np.float64(0.3496871400817813)}}","{'pearson': {'mean': np.float64(0.3001393274886965), 'wmean': np.float64(0.35662459328390045)}, 'spearman': {'mean': np.float64(0.3091393436475308), 'wmean': np.float64(0.35797607972342066)}}","{'pearson': {'mean': np.float64(0.27580066455170427), 'wmean': np.float64(0.27795743326716327)}, 'spearman': {'mean': np.float64(0.28472785572577813), 'wmean': np.float64(0.287191979599773)}}","{'devpearson': np.float64(0.4909127998983718), 'pearson': np.float64(0.372060436571644), 'spearman': np.float64(0.3710411750196453), 'mse': 2.1347173165327424, 'yhat': array([2.87050103, 1.16120751, 2.0086469 , ..., 3.89400466, 3.63896705,
       3.83234088]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.46541308122683717), 'pearson': np.float64(0.5412111311261014), 'spearman': np.float64(0.5325012328792003), 'mse': 0.7354115329687451, 'yhat': array([3.60581876, 3.96105311, 2.16165882, ..., 3.1834683 , 3.69689321,
       4.7158068 ]), 'ndev': 500, 'ntest': 4927}"
bert-base-uncased,_cls_layer_2,"{'pearson': {'mean': np.float64(0.28347103242743665), 'wmean': np.float64(0.2555670043666196)}, 'spearman': {'mean': np.float64(0.31680234298517473), 'wmean': np.float64(0.2905703418763996)}}","{'pearson': {'mean': np.float64(0.15228164088333992), 'wmean': np.float64(0.11846462246099589)}, 'spearman': {'mean': np.float64(0.20593028273023872), 'wmean': np.float64(0.19401473709009062)}}","{'pearson': {'mean': np.float64(0.19045163133826434), 'wmean': np.float64(0.17360942744077482)}, 'spearman': {'mean': np.float64(0.2668561560816764), 'wmean': np.float64(0.24804241187645767)}}","{'pearson': {'mean': np.float64(0.19466073339740497), 'wmean': np.float64(0.18823226463452292)}, 'spearman': {'mean': np.float64(0.31287139019040444), 'wmean': np.float64(0.31786336762039924)}}","{'pearson': {'mean': np.float64(0.22723563502324035), 'wmean': np.float64(0.23261095696648867)}, 'spearman': {'mean': np.float64(0.37631334595375343), 'wmean': np.float64(0.38569467854055717)}}","{'devpearson': np.float64(0.6160142082852864), 'pearson': np.float64(0.5283981600202277), 'spearman': np.float64(0.5166462975882553), 'mse': 1.9812611977411756, 'yhat': array([2.8067175 , 2.51725133, 2.07570801, ..., 3.60897786, 3.67872297,
       3.35763416]), 'ndev': 1500, 'ntest': 1379}","{'devpearson': np.float64(0.7367453078220377), 'pearson': np.float64(0.7407406624742197), 'spearman': np.float64(0.6820839287341578), 'mse': 0.4658262484869764, 'yhat': array([2.21054106, 3.76421066, 1.63618341, ..., 3.23367754, 4.53444355,
       4.56163962]), 'ndev': 500, 'ntest': 4927}"
