Modelo,Pooling,out_emb_size,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base,CLS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(76.24), 'acc': np.float64(73.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.64), 'acc': np.float64(73.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.64), 'acc': np.float64(93.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.91), 'acc': np.float64(86.36), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.87), 'acc': 42.85, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.24), 'acc': 77.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.3), 'acc': 69.33, 'f1': 80.47, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(78.54), 'acc': np.float64(77.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.33), 'acc': np.float64(80.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.46), 'acc': np.float64(94.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.92), 'acc': np.float64(87.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 83.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.69), 'acc': 46.24, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.71), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.31), 'acc': 74.61, 'f1': 82.59, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(76.42), 'acc': np.float64(74.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.07), 'acc': np.float64(79.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.43), 'acc': np.float64(92.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.85), 'acc': np.float64(87.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 83.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.51), 'acc': 41.45, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.53), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.47), 'acc': 64.7, 'f1': 77.99, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(73.52), 'acc': np.float64(72.92), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(72.88), 'acc': np.float64(68.77), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.78), 'acc': np.float64(91.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.18), 'acc': np.float64(86.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.96), 'acc': 79.68, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 41.0, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(79.71), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.28), 'acc': 67.77, 'f1': 76.3, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(78.57), 'acc': np.float64(77.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.52), 'acc': np.float64(80.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.42), 'acc': np.float64(93.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.15), 'acc': np.float64(88.51), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 83.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.32), 'acc': 45.75, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.24), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.26), 'acc': 73.8, 'f1': 82.26, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(76.24), 'acc': np.float64(75.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.06), 'acc': np.float64(79.63), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.38), 'acc': np.float64(92.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.03), 'acc': np.float64(87.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.14), 'acc': 83.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.42), 'acc': 42.62, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.4), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(66.81), 'acc': 64.06, 'f1': 76.95, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX-NS_LYR-7,torch.Size([768]),0,"{'devacc': np.float64(73.49), 'acc': np.float64(72.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(72.89), 'acc': np.float64(72.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.84), 'acc': np.float64(91.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.79), 'acc': np.float64(87.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 80.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.6), 'acc': 41.0, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.14), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.47), 'acc': 67.94, 'f1': 75.5, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(79.49), 'acc': np.float64(78.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.91), 'acc': np.float64(79.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.85), 'acc': np.float64(94.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.05), 'acc': np.float64(88.78), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 83.91, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.05), 'acc': 45.75, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.47), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.65), 'acc': 74.84, 'f1': 82.78, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.69), 'acc': np.float64(76.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.85), 'acc': np.float64(79.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.65), 'acc': np.float64(92.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.36), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.83), 'acc': 83.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.6), 'acc': 41.67, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.3), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.3), 'acc': 67.88, 'f1': 76.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.16), 'acc': np.float64(76.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.77), 'acc': np.float64(77.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.97), 'acc': np.float64(93.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.26), 'acc': np.float64(87.95), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 83.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.87), 'acc': 43.08, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.44), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.06), 'acc': 69.74, 'f1': 80.32, 'ndev': 4076, 'ntest': 1725}"
