,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base,CLS_LYR-7,torch.Size([768]),1,12,0,73.59,73.17,93.29,86.36,81.93,42.85,77.8,69.33,74.79,79.35285714285715
1,bert-base,AVG_LYR-7,torch.Size([768]),1,12,0,77.87,80.45,94.13,87.94,83.36,46.24,91.0,74.61,79.45,84.19428571428571
2,bert-base,SUM_LYR-7,torch.Size([768]),1,12,0,74.82,79.76,92.72,87.57,83.25,41.45,89.8,64.7,76.75875,81.80285714285715
3,bert-base,MAX_LYR-7,torch.Size([768]),1,12,0,72.92,68.77,91.33,86.98,79.68,41.0,86.6,67.77,74.38125,79.14999999999999
4,bert-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,77.86,80.93,93.83,88.51,83.03,45.75,91.0,73.8,79.33874999999999,84.13714285714285
5,bert-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,75.87,79.63,92.55,87.33,83.03,42.62,89.8,64.06,76.86124999999998,81.75285714285714
6,bert-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,72.84,72.08,91.15,87.44,80.12,41.0,86.6,67.94,74.89625000000001,79.73857142857143
7,bert-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,78.61,79.39,94.45,88.78,83.91,45.75,91.2,74.84,79.61625000000001,84.45428571428572
8,bert-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,76.08,79.79,92.94,88.36,83.42,41.67,91.4,67.88,77.69250000000001,82.83857142857143
9,bert-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,76.39,77.17,93.16,87.95,83.25,43.08,92.4,69.74,77.8925,82.86571428571429
10,bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,78.99,80.05,94.37,89.0,85.28,45.79,91.0,74.26,79.8425,84.70714285714284
11,bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,75.03,79.68,93.01,88.44,82.65,43.76,91.0,68.75,77.79,82.65142857142858
12,bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,76.34,77.14,93.06,88.48,83.14,42.94,91.2,69.91,77.77625,82.75285714285714
13,bert-base,DY3_LYR-7,torch.Size([2304]),1,12,0,79.15,81.16,94.58,89.03,80.72,44.07,91.8,68.29,78.6,83.53285714285713
14,bert-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,78.68,80.87,94.5,88.57,80.94,44.98,92.0,67.54,78.50999999999999,83.29999999999998
15,bert-base,DY5_LYR-7,torch.Size([3840]),1,12,0,78.2,81.85,94.87,88.53,79.46,44.03,91.8,69.16,78.4875,83.41
16,bert-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,78.37,81.09,94.52,68.77,50.08,44.03,93.6,64.35,71.85125000000001,75.82571428571428
17,bert-base,CLS_LYR-8,torch.Size([768]),1,12,0,76.14,73.69,93.13,86.97,83.36,43.12,78.0,69.51,75.49,80.11428571428571
18,bert-base,AVG_LYR-8,torch.Size([768]),1,12,0,79.95,82.65,94.17,88.43,84.95,45.07,92.0,74.14,80.17,85.18428571428572
19,bert-base,SUM_LYR-8,torch.Size([768]),1,12,0,77.15,81.54,93.51,87.82,83.42,43.53,89.8,61.1,77.23375,82.04857142857144
20,bert-base,MAX_LYR-8,torch.Size([768]),1,12,0,74.49,73.4,91.67,87.24,80.83,44.03,87.4,70.96,76.2525,80.85571428571428
21,bert-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,79.74,82.65,94.16,88.79,84.73,44.84,91.8,74.26,80.12124999999999,85.16142857142857
22,bert-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,76.8,81.56,93.44,87.55,83.2,42.94,90.0,64.0,77.43625,82.36428571428571
23,bert-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,74.97,76.05,91.73,87.15,81.6,41.49,89.6,69.51,76.5125,81.51571428571428
24,bert-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,80.08,81.91,94.25,88.95,85.5,46.47,91.2,75.36,80.465,85.32142857142857
25,bert-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,76.75,82.28,93.57,88.05,84.95,42.76,91.8,61.62,77.7225,82.71714285714286
26,bert-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,78.09,78.22,93.52,87.95,85.72,44.71,92.2,71.01,78.9275,83.8157142857143
27,bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,80.39,82.59,94.34,89.22,86.33,45.66,91.4,74.78,80.58875,85.57857142857144
28,bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,77.15,82.33,93.6,88.21,84.35,44.71,91.4,61.57,77.915,82.65857142857143
29,bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,77.99,78.75,93.62,88.47,85.61,44.98,92.0,70.9,79.04,83.9057142857143
30,bert-base,DY3_LYR-8,torch.Size([2304]),1,12,0,80.38,83.58,94.54,89.39,81.11,45.52,92.2,68.99,79.46375,84.31285714285715
31,bert-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,79.78,83.97,94.63,89.02,82.1,44.84,91.8,67.71,79.23125,84.14428571428572
32,bert-base,DY5_LYR-8,torch.Size([3840]),1,12,0,80.55,83.23,94.68,88.85,81.44,44.21,93.8,68.75,79.43875,84.47142857142858
33,bert-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,79.76,84.4,94.78,68.77,50.08,44.62,94.4,66.49,72.91250000000001,76.95428571428572
34,bert-base,CLS_LYR-9,torch.Size([768]),1,12,0,79.33,81.17,93.98,87.32,84.29,43.71,82.0,71.36,77.895,82.77857142857144
35,bert-base,AVG_LYR-9,torch.Size([768]),1,12,0,80.64,85.17,94.04,88.18,85.34,45.79,90.4,73.74,80.41250000000001,85.35857142857142
