,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base,CLS_LYR-7,torch.Size([768]),1,12,0,76.24,76.64,93.64,86.91,82.45,42.87,77.24,71.3,75.91124999999998,80.63142857142857
1,bert-base,AVG_LYR-7,torch.Size([768]),1,12,0,78.54,82.33,94.46,88.92,84.17,45.69,83.71,73.31,78.89125000000001,83.63428571428572
2,bert-base,SUM_LYR-7,torch.Size([768]),1,12,0,76.42,81.07,93.43,87.85,83.72,42.51,85.53,67.47,77.25,82.21285714285715
3,bert-base,MAX_LYR-7,torch.Size([768]),1,12,0,73.52,72.88,91.78,87.18,80.96,41.69,79.71,72.28,75.0,79.75857142857141
4,bert-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,78.57,82.52,94.42,89.15,83.72,45.32,84.24,73.26,78.89999999999999,83.69714285714285
5,bert-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,76.24,81.06,93.38,88.03,83.14,42.42,85.4,66.81,77.06,82.00857142857141
6,bert-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,73.49,72.89,91.84,87.79,79.82,41.6,80.14,72.47,75.00500000000001,79.77714285714285
7,bert-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,79.49,80.91,94.85,89.05,84.17,46.05,85.47,73.65,79.205,83.94142857142856
8,bert-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,77.69,80.85,93.65,88.54,83.83,41.6,86.3,68.3,77.595,82.73714285714286
9,bert-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,77.16,77.77,93.97,88.26,84.4,43.87,83.44,73.06,77.74125000000001,82.58000000000001
10,bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,79.51,81.18,94.83,89.29,84.4,46.14,85.75,73.48,79.3225,84.06285714285715
11,bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,77.66,80.87,93.5,88.71,84.4,42.51,86.13,69.46,77.905,82.96142857142857
12,bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,77.14,77.97,93.97,88.63,84.17,43.6,83.69,72.55,77.715,82.58857142857143
13,bert-base,DY3_LYR-7,torch.Size([2304]),1,12,0,79.46,83.05,94.83,89.32,80.85,46.5,87.45,70.68,79.01750000000001,83.66285714285716
14,bert-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,79.29,82.74,94.85,89.05,81.42,45.41,87.4,70.85,78.87625,83.65714285714286
15,bert-base,DY5_LYR-7,torch.Size([3840]),1,12,0,79.27,82.68,95.04,88.77,80.85,42.69,88.52,71.32,78.64250000000001,83.77857142857144
16,bert-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,78.9,82.99,94.92,68.77,49.08,45.23,88.85,71.27,72.50125,76.39714285714285
17,bert-base,CLS_LYR-8,torch.Size([768]),1,12,0,77.46,75.07,93.49,87.48,84.29,42.05,77.18,70.12,75.8925,80.72714285714287
18,bert-base,AVG_LYR-8,torch.Size([768]),1,12,0,80.17,84.41,94.46,89.05,84.75,46.41,84.72,73.99,79.745,84.50714285714285
19,bert-base,SUM_LYR-8,torch.Size([768]),1,12,0,77.46,82.71,93.86,87.9,84.4,41.69,85.16,66.68,77.48249999999999,82.59571428571427
20,bert-base,MAX_LYR-8,torch.Size([768]),1,12,0,75.38,73.12,92.33,86.94,81.08,43.23,80.41,72.82,75.66375,80.29714285714284
21,bert-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,80.16,84.59,94.49,89.09,84.98,46.23,85.0,74.09,79.82875000000001,84.62857142857145
22,bert-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,77.53,82.83,93.72,87.61,84.4,43.05,85.53,66.27,77.6175,82.55571428571429
23,bert-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,75.55,74.73,92.38,87.44,81.88,42.42,80.78,72.35,75.94125000000001,80.73
24,bert-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,80.7,83.29,94.82,89.3,85.55,44.6,85.6,74.48,79.7925,84.82000000000001
25,bert-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,78.42,83.53,93.96,88.65,84.75,42.33,86.33,68.94,78.36374999999998,83.51142857142857
26,bert-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,78.35,79.73,93.86,88.4,84.29,44.05,83.9,74.41,78.37375,83.27714285714286
27,bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,80.7,83.45,94.85,89.5,85.67,44.78,85.49,74.61,79.88125000000001,84.89571428571428
28,bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,78.23,83.56,94.01,88.78,84.75,43.69,85.89,68.99,78.48750000000001,83.45857142857143
29,bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,78.42,79.75,93.93,88.8,84.63,44.96,84.65,74.48,78.7025,83.52285714285715
30,bert-base,DY3_LYR-8,torch.Size([2304]),1,12,0,80.78,85.34,94.85,89.52,82.45,46.41,88.19,71.17,79.83874999999999,84.61428571428571
31,bert-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,80.65,85.5,94.86,89.27,82.8,45.78,87.89,71.32,79.75874999999999,84.61285714285714
32,bert-base,DY5_LYR-8,torch.Size([3840]),1,12,0,80.67,85.31,95.05,89.09,82.8,44.23,89.47,71.88,79.8125,84.89571428571428
33,bert-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,80.38,85.44,94.92,68.77,49.08,46.05,89.14,71.64,73.1775,77.05285714285715
34,bert-base,CLS_LYR-9,torch.Size([768]),1,12,0,80.43,82.09,94.15,87.57,84.17,43.87,81.27,71.32,78.10875000000001,83.0
35,bert-base,AVG_LYR-9,torch.Size([768]),1,12,0,81.44,86.92,94.81,88.7,87.27,46.78,85.09,74.31,80.66499999999999,85.50571428571428
36,bert-base,SUM_LYR-9,torch.Size([768]),1,12,0,79.75,85.46,93.99,87.75,86.24,45.41,86.11,66.81,78.94,83.72999999999999
37,bert-base,MAX_LYR-9,torch.Size([768]),1,12,0,78.02,78.46,92.97,87.06,84.63,46.41,80.76,73.36,77.70875,82.17999999999999
38,bert-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,81.44,87.1,94.83,88.83,86.93,46.59,85.36,74.17,80.65625,85.52285714285713
39,bert-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,79.65,85.29,94.02,87.19,86.47,44.69,85.91,66.68,78.73750000000001,83.60142857142857
40,bert-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,78.26,79.03,92.93,87.1,84.98,45.32,81.99,73.14,77.84375,82.49000000000001
41,bert-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,82.34,86.23,95.21,88.99,87.27,47.23,87.07,75.54,81.23499999999999,86.09285714285713
42,bert-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,80.03,85.5,94.5,88.41,86.47,45.23,87.33,69.43,79.61250000000001,84.52428571428572
43,bert-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,80.97,83.87,94.58,88.6,85.89,46.32,86.19,74.17,80.07374999999999,84.89571428571426
44,bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,82.33,86.2,95.23,89.24,87.39,47.23,87.03,75.44,81.26124999999999,86.12285714285713
45,bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,80.07,85.45,94.51,88.49,86.58,44.5,87.11,69.55,79.53249999999998,84.53714285714284
46,bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,81.02,83.92,94.56,88.8,86.12,45.96,86.23,73.99,80.075,84.94857142857143
47,bert-base,DY3_LYR-9,torch.Size([2304]),1,12,0,82.12,86.93,95.2,89.2,84.52,47.5,88.37,71.49,80.66624999999999,85.4042857142857
48,bert-base,DY3-NS_LYR-9,torch.Size([2304]),1,12,0,81.91,87.23,95.16,89.16,85.09,46.87,88.19,71.3,80.61374999999998,85.4342857142857
49,bert-base,DY5_LYR-9,torch.Size([3840]),1,12,0,82.07,87.32,95.36,89.04,85.32,46.23,89.56,71.91,80.85125000000001,85.79714285714286
50,bert-base,DY5-NS_LYR-9,torch.Size([3840]),1,12,0,81.92,87.1,95.28,68.77,49.08,46.78,89.87,71.61,73.80125,77.66142857142856
51,bert-base,CLS_LYR-10,torch.Size([768]),1,12,0,81.75,85.26,94.66,87.59,86.58,45.41,80.67,71.71,79.20375,84.03142857142858
52,bert-base,AVG_LYR-10,torch.Size([768]),1,12,0,81.77,87.18,95.0,88.29,86.81,47.23,84.12,74.26,80.58250000000001,85.34714285714287
53,bert-base,SUM_LYR-10,torch.Size([768]),1,12,0,78.91,85.14,94.1,87.55,86.01,40.87,85.33,66.58,78.06125,83.37428571428572
54,bert-base,MAX_LYR-10,torch.Size([768]),1,12,0,79.37,80.45,93.55,87.54,86.01,45.14,81.0,72.72,78.2225,82.94857142857143
55,bert-base,AVG-NS_LYR-10,torch.Size([768]),1,12,0,81.7,87.22,94.99,88.16,86.81,47.41,84.1,73.87,80.53250000000001,85.26428571428572
56,bert-base,SUM-NS_LYR-10,torch.Size([768]),1,12,0,78.66,84.97,94.06,86.7,85.21,41.69,85.23,66.81,77.91624999999999,83.09142857142855
57,bert-base,MAX-NS_LYR-10,torch.Size([768]),1,12,0,79.34,80.87,93.6,87.19,85.55,45.41,81.77,72.64,78.29625,82.99428571428572
58,bert-base,CLS+AVG_LYR-10,torch.Size([1536]),1,12,0,82.79,87.32,95.24,88.86,87.61,47.05,86.11,74.39,81.17125,86.0457142857143
59,bert-base,CLS+SUM_LYR-10,torch.Size([1536]),1,12,0,79.89,85.58,94.41,88.29,87.16,44.23,86.04,69.28,79.36,84.37857142857142
60,bert-base,CLS+MAX_LYR-10,torch.Size([1536]),1,12,0,82.39,85.39,95.07,88.47,86.81,45.69,85.29,74.66,80.47125,85.44000000000001
