Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-large-uncased,_cls-1,0,"{'devacc': np.float64(60.97), 'acc': np.float64(60.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(77.4), 'acc': np.float64(76.81), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.03), 'acc': np.float64(82.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(70.76), 'acc': 71.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(32.52), 'acc': 31.31, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(55.25), 'acc': 57.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.64), 'acc': 66.55, 'f1': 79.9, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_mean-1,0,"{'devacc': np.float64(74.82), 'acc': np.float64(74.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.85), 'acc': np.float64(74.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.08), 'acc': np.float64(90.56), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.23), 'acc': np.float64(87.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.39), 'acc': 81.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.24), 'acc': 41.63, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.53), 'acc': 80.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.21), 'acc': 73.04, 'f1': 81.39, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(74.89), 'acc': np.float64(73.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.95), 'acc': np.float64(74.91), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.15), 'acc': np.float64(90.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.51), 'acc': np.float64(88.34), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 81.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.96), 'acc': 40.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.7), 'acc': 84.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.43), 'acc': 72.46, 'f1': 81.07, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_cls_with_mean-1,0,"{'devacc': np.float64(74.84), 'acc': np.float64(74.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.82), 'acc': np.float64(76.32), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.16), 'acc': np.float64(90.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.26), 'acc': np.float64(88.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 80.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.51), 'acc': 41.58, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.26), 'acc': 83.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.33), 'acc': 71.94, 'f1': 80.84, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(74.99), 'acc': np.float64(74.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.13), 'acc': np.float64(78.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.21), 'acc': np.float64(90.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.47), 'acc': np.float64(88.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.05), 'acc': 80.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.24), 'acc': 41.54, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.84), 'acc': 85.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 72.06, 'f1': 81.63, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(75.88), 'acc': np.float64(75.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.46), 'acc': np.float64(79.31), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.69), 'acc': np.float64(91.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.75), 'acc': np.float64(88.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.06), 'acc': 77.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.96), 'acc': 41.49, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.22), 'acc': 83.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.54), 'acc': 67.94, 'f1': 75.5, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.57), 'acc': np.float64(74.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.22), 'acc': np.float64(79.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.71), 'acc': np.float64(91.33), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.49), 'acc': np.float64(88.31), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.95), 'acc': 77.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.33), 'acc': 38.82, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.46), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.52), 'acc': 66.78, 'f1': 76.41, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(76.09), 'acc': np.float64(75.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.71), 'acc': np.float64(80.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.1), 'acc': np.float64(92.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.89), 'acc': np.float64(87.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.06), 'acc': 77.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.42), 'acc': 40.54, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.36), 'acc': 84.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.03), 'acc': 66.49, 'f1': 75.36, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.68), 'acc': np.float64(75.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.8), 'acc': np.float64(78.83), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.92), 'acc': np.float64(91.85), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.33), 'acc': 39.55, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.32), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.66), 'acc': 68.41, 'f1': 78.55, 'ndev': 4076, 'ntest': 1725}"
bert-large-uncased,_cls-2,0,"{'devacc': np.float64(69.27), 'acc': np.float64(69.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.77), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(89.03), 'acc': np.float64(88.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.15), 'acc': np.float64(82.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 76.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.24), 'acc': 36.65, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(63.37), 'acc': 62.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.57), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
