,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-large-uncased,_cls-1,0,1,24,60.59,63.76,76.81,82.06,71.83,31.31,57.8,66.55,63.838750000000005,68.4857142857143
1,bert-large-uncased,_mean-1,0,1,24,74.24,74.2,90.56,87.84,81.44,41.63,80.2,73.04,75.39375,80.21714285714286
2,bert-large-uncased,_mean_exclude_cls_sep-1,0,1,24,73.98,74.91,90.49,88.34,81.38,40.9,84.4,72.46,75.8575,80.85142857142857
3,bert-large-uncased,_concat_cls_with_mean-1,0,1,24,74.28,76.32,90.41,88.18,80.12,41.58,83.4,71.94,75.77875,80.66428571428573
4,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,1,24,74.27,78.39,90.46,88.14,80.78,41.54,85.8,72.06,76.43,81.41428571428571
5,bert-large-uncased,_concat_mean_3_tokens-1,0,1,24,75.12,79.31,91.35,88.43,77.98,41.49,83.8,67.94,75.67750000000001,80.56142857142858
6,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,24,74.85,79.29,91.33,88.31,77.48,38.82,87.4,66.78,75.5325,80.77714285714285
7,bert-large-uncased,_concat_mean_5_tokens-1,0,1,24,75.53,80.11,92.03,87.72,77.05,40.54,84.4,66.49,75.48375,80.47571428571429
8,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,24,75.24,78.83,91.85,68.77,50.08,39.55,86.4,68.41,69.89125,74.22571428571428
9,bert-large-uncased,_cls-2,0,1,24,69.15,63.76,88.27,82.18,76.88,36.65,62.4,66.49,68.2225,72.73285714285714
10,bert-large-uncased,_mean-2,0,1,24,73.98,74.94,91.04,87.46,81.22,41.31,81.8,72.17,75.49,80.37285714285714
11,bert-large-uncased,_mean_exclude_cls_sep-2,0,1,24,74.56,74.73,90.81,88.23,81.33,40.72,83.0,72.58,75.745,80.74857142857142
12,bert-large-uncased,_concat_cls_with_mean-2,0,1,24,73.58,77.4,90.92,87.88,81.0,42.4,81.8,72.93,75.98875000000001,80.78714285714285
13,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-2,0,1,24,73.78,77.62,90.79,87.99,81.16,42.67,81.8,72.12,75.99125000000001,80.75142857142858
14,bert-large-uncased,_concat_mean_3_tokens-2,0,1,24,75.52,79.68,91.83,88.37,78.36,40.41,84.6,69.33,76.0125,81.09857142857143
