,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-large-uncased,_cls-1,0,1,24,60.97,63.76,77.4,82.03,70.76,32.52,55.25,67.64,63.79124999999999,68.25857142857141
1,bert-large-uncased,_mean-1,0,1,24,74.82,77.85,91.08,88.23,80.39,41.24,77.53,73.21,75.54375,80.44428571428571
2,bert-large-uncased,_mean_exclude_cls_sep-1,0,1,24,74.89,77.95,91.15,88.51,80.16,40.96,77.7,73.43,75.59375,80.54142857142857
3,bert-large-uncased,_concat_cls_with_mean-1,0,1,24,74.84,78.82,91.16,88.26,79.24,41.51,77.26,73.33,75.55250000000001,80.41571428571429
4,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,1,24,74.99,79.13,91.21,88.47,80.05,41.24,77.84,73.28,75.77624999999999,80.71
5,bert-large-uncased,_concat_mean_3_tokens-1,0,1,24,75.88,80.46,91.69,88.75,77.06,40.96,83.22,71.54,76.195,81.22857142857141
6,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,24,75.57,80.22,91.71,88.49,76.95,40.33,83.46,71.52,76.03125,81.13142857142857
7,bert-large-uncased,_concat_mean_5_tokens-1,0,1,24,76.09,80.71,92.1,87.89,77.06,39.42,83.36,71.03,75.9575,81.17714285714285
8,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,24,75.68,79.8,91.92,68.77,49.08,40.33,84.32,71.66,70.195,74.46142857142857
9,bert-large-uncased,_cls-2,0,1,24,69.27,63.77,89.03,82.15,76.15,36.24,63.37,67.57,68.44375,73.04428571428572
10,bert-large-uncased,_mean-2,0,1,24,75.08,76.66,91.59,88.1,79.7,41.24,76.74,73.11,75.2775,80.14
11,bert-large-uncased,_mean_exclude_cls_sep-2,0,1,24,75.24,77.59,91.64,88.45,80.05,41.33,77.22,73.14,75.5825,80.47571428571428
12,bert-large-uncased,_concat_cls_with_mean-2,0,1,24,75.16,78.9,91.76,88.14,79.93,41.33,77.7,73.55,75.80874999999999,80.73428571428572
13,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-2,0,1,24,75.18,79.08,91.82,88.48,79.7,40.96,77.68,73.6,75.8125,80.79142857142857
14,bert-large-uncased,_concat_mean_3_tokens-2,0,1,24,76.08,80.14,92.22,88.54,75.8,41.33,83.0,71.98,76.13625,81.10857142857142
15,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,24,75.71,80.11,92.2,88.37,75.69,40.42,83.38,71.59,75.93375,81.00714285714285
16,bert-large-uncased,_concat_mean_5_tokens-2,0,1,24,75.99,80.17,92.32,87.78,76.72,40.15,83.51,71.17,75.97625,81.0942857142857
17,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,24,75.79,79.82,92.29,68.77,49.08,40.33,84.12,71.57,70.22125,74.49142857142859
18,bert-large-uncased,_cls-3,0,1,24,69.71,63.76,89.08,82.17,75.57,34.79,63.17,67.62,68.23375000000001,73.01142857142858
19,bert-large-uncased,_mean-3,0,1,24,75.37,76.76,92.16,88.17,80.16,41.78,77.59,72.84,75.60375,80.4357142857143
20,bert-large-uncased,_mean_exclude_cls_sep-3,0,1,24,75.53,77.04,92.19,88.55,79.93,41.51,78.47,72.79,75.75125,80.64285714285714
21,bert-large-uncased,_concat_cls_with_mean-3,0,1,24,75.46,78.59,92.09,88.08,80.28,41.96,77.93,73.06,75.93125,80.78428571428572
22,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-3,0,1,24,75.53,78.96,92.22,88.6,79.93,41.69,78.43,73.21,76.07125,80.98285714285714
23,bert-large-uncased,_concat_mean_3_tokens-3,0,1,24,76.11,79.75,92.92,88.51,76.26,40.96,84.02,71.27,76.225,81.26285714285714
24,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,24,75.75,79.62,92.91,88.24,76.38,41.14,83.8,71.0,76.10499999999999,81.10000000000001
25,bert-large-uncased,_concat_mean_5_tokens-3,0,1,24,76.02,79.91,92.97,87.67,77.98,40.42,84.21,70.46,76.20500000000001,81.31714285714285
26,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,1,24,75.92,79.51,92.88,68.77,49.08,40.24,85.03,71.42,70.35624999999999,74.65857142857142
27,bert-large-uncased,_cls-4,0,1,24,69.66,63.76,89.41,80.35,76.26,35.42,63.77,67.57,68.27499999999999,72.96857142857142
28,bert-large-uncased,_mean-4,0,1,24,75.22,76.67,92.59,87.93,80.28,42.23,77.48,72.84,75.655,80.42999999999999
29,bert-large-uncased,_mean_exclude_cls_sep-4,0,1,24,75.39,77.55,92.65,88.52,79.7,42.6,78.34,72.84,75.94875,80.71285714285715
30,bert-large-uncased,_concat_cls_with_mean-4,0,1,24,75.46,78.48,92.75,87.78,80.85,42.69,77.81,73.45,76.15875000000001,80.94000000000001
31,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-4,0,1,24,75.55,78.84,92.74,88.53,81.31,41.78,79.6,73.38,76.46625,81.42142857142856
32,bert-large-uncased,_concat_mean_3_tokens-4,0,1,24,76.04,80.08,93.34,88.72,76.72,41.24,84.61,71.2,76.49375,81.53
33,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-4,0,1,24,75.84,79.91,93.38,88.26,77.06,40.51,84.06,70.98,76.25,81.35571428571428
34,bert-large-uncased,_concat_mean_5_tokens-4,0,1,24,76.21,79.71,93.46,87.69,78.33,40.05,84.78,70.46,76.33625,81.52
35,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-4,0,1,24,76.04,79.37,93.49,68.77,49.08,41.14,85.14,70.98,70.50125,74.69571428571429
36,bert-large-uncased,_cls-5,0,1,24,70.89,65.78,91.2,78.28,76.95,35.6,63.04,68.16,68.7375,73.47142857142856
37,bert-large-uncased,_mean-5,0,1,24,75.79,76.72,93.13,88.1,80.05,41.69,79.29,73.11,75.985,80.88428571428572
38,bert-large-uncased,_mean_exclude_cls_sep-5,0,1,24,76.03,77.36,93.22,88.58,79.82,41.96,79.31,73.01,76.16125,81.04714285714286
39,bert-large-uncased,_concat_cls_with_mean-5,0,1,24,75.81,78.11,93.36,87.84,80.28,41.51,77.79,73.14,75.97999999999999,80.90428571428572
40,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-5,0,1,24,75.99,78.62,93.39,88.64,80.39,41.69,79.26,73.14,76.39,81.34714285714286
41,bert-large-uncased,_concat_mean_3_tokens-5,0,1,24,76.35,79.35,93.78,88.62,77.29,41.14,84.74,70.93,76.525,81.58000000000001
42,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-5,0,1,24,76.21,79.19,93.81,88.42,76.95,40.6,85.07,70.53,76.3475,81.4542857142857
43,bert-large-uncased,_concat_mean_5_tokens-5,0,1,24,76.47,79.53,93.84,87.68,78.56,39.96,85.05,70.85,76.49249999999999,81.71142857142857
44,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-5,0,1,24,76.25,79.45,93.81,68.77,49.08,40.87,85.6,71.07,70.61249999999998,74.86142857142856
45,bert-large-uncased,_cls-6,0,1,24,71.82,67.77,91.16,81.85,78.1,38.69,61.48,70.09,70.11999999999999,74.61
46,bert-large-uncased,_mean-6,0,1,24,76.2,77.6,93.52,88.16,80.05,41.51,79.35,73.7,76.26125,81.22571428571429
47,bert-large-uncased,_mean_exclude_cls_sep-6,0,1,24,76.22,78.43,93.63,88.57,80.05,41.6,79.77,73.75,76.50250000000001,81.48857142857143
48,bert-large-uncased,_concat_cls_with_mean-6,0,1,24,76.45,78.17,93.6,88.14,79.82,41.6,79.2,74.09,76.38375,81.35285714285715
49,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-6,0,1,24,76.51,78.69,93.69,88.63,80.05,42.05,79.95,73.68,76.65625,81.60000000000001
50,bert-large-uncased,_concat_mean_3_tokens-6,0,1,24,76.66,79.54,94.13,88.53,77.87,42.33,84.96,70.88,76.8625,81.79571428571428
51,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-6,0,1,24,76.51,79.59,94.2,88.38,77.41,42.14,85.84,71.03,76.8875,81.85142857142857
52,bert-large-uncased,_concat_mean_5_tokens-6,0,1,24,76.75,80.1,94.26,87.63,77.87,41.6,85.51,70.63,76.79375,81.82142857142857
53,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-6,0,1,24,76.57,79.85,94.11,68.77,49.08,42.69,86.08,71.15,71.0375,75.08714285714284
54,bert-large-uncased,_cls-7,0,1,24,72.99,71.64,92.14,84.76,79.24,39.69,66.84,68.77,72.00874999999999,76.62571428571428
55,bert-large-uncased,_mean-7,0,1,24,76.23,78.42,93.69,87.95,79.93,43.32,79.6,73.09,76.52875,81.27285714285715
56,bert-large-uncased,_mean_exclude_cls_sep-7,0,1,24,76.37,78.54,93.76,88.53,80.16,43.14,80.04,73.04,76.69749999999999,81.49142857142859
57,bert-large-uncased,_concat_cls_with_mean-7,0,1,24,76.43,78.86,94.1,88.16,80.73,43.05,79.95,73.33,76.82625000000002,81.65142857142858
58,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-7,0,1,24,76.53,79.09,94.13,88.65,81.08,43.05,80.45,73.45,77.05375000000001,81.91142857142857
59,bert-large-uncased,_concat_mean_3_tokens-7,0,1,24,76.88,79.77,94.25,88.26,77.87,42.87,85.01,70.98,76.98625,81.86
60,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-7,0,1,24,76.69,79.62,94.29,88.32,77.75,42.78,85.31,71.15,76.98875,81.87571428571428
61,bert-large-uncased,_concat_mean_5_tokens-7,0,1,24,76.8,80.12,94.37,87.61,77.87,42.33,85.42,70.41,76.86625,81.8
62,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-7,0,1,24,76.75,80.06,94.33,68.77,49.08,43.51,86.15,70.71,71.17,75.12142857142858
63,bert-large-uncased,_cls-8,0,1,24,72.73,72.93,92.3,84.76,78.33,38.78,66.4,68.11,71.7925,76.50857142857144
64,bert-large-uncased,_mean-8,0,1,24,76.53,77.79,93.6,87.63,81.19,42.05,79.97,72.96,76.465,81.38142857142857
65,bert-large-uncased,_mean_exclude_cls_sep-8,0,1,24,76.64,78.36,93.65,88.43,80.96,42.42,80.43,73.09,76.74750000000002,81.65142857142858
66,bert-large-uncased,_concat_cls_with_mean-8,0,1,24,76.67,77.92,93.96,88.06,81.31,42.51,80.69,72.67,76.72375,81.61142857142856
67,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-8,0,1,24,76.63,78.23,94.04,88.67,81.88,43.14,80.3,72.64,76.94125,81.77000000000001
68,bert-large-uncased,_concat_mean_3_tokens-8,0,1,24,77.07,79.47,94.29,88.17,77.75,42.51,85.42,70.83,76.93875,81.85714285714286
69,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-8,0,1,24,76.93,79.13,94.35,88.3,77.98,41.69,85.99,70.68,76.88125,81.90857142857143
70,bert-large-uncased,_concat_mean_5_tokens-8,0,1,24,77.14,80.3,94.38,87.61,78.1,42.05,85.84,70.41,76.97874999999999,81.96857142857142
71,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-8,0,1,24,77.05,79.91,94.29,68.77,49.08,41.42,87.03,70.51,71.0075,75.23428571428572
72,bert-large-uncased,_cls-9,0,1,24,73.12,74.12,92.96,84.87,76.83,40.33,69.74,68.25,72.5275,77.12714285714286
73,bert-large-uncased,_mean-9,0,1,24,76.82,78.43,93.84,87.69,81.42,43.42,80.36,73.21,76.89875,81.68142857142857
74,bert-large-uncased,_mean_exclude_cls_sep-9,0,1,24,76.93,78.9,93.87,88.31,81.19,43.51,80.56,72.87,77.0175,81.80428571428571
75,bert-large-uncased,_concat_cls_with_mean-9,0,1,24,76.84,78.26,94.38,87.9,82.0,42.87,81.09,72.3,76.955,81.82428571428571
76,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-9,0,1,24,76.87,78.75,94.37,88.59,81.65,43.05,81.36,72.38,77.1275,81.99571428571429
