Modelo,Pooling,out_emb_size,Nhid,STS12,STS13,STS14,STS15,STS16
bert-base,CLS_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.2874085237784586), 'wmean': np.float64(0.2506697851556831)}, 'spearman': {'mean': np.float64(0.30600239753143504), 'wmean': np.float64(0.27767299047130983)}}","{'pearson': {'mean': np.float64(0.18409039927799842), 'wmean': np.float64(0.23804458789059463)}, 'spearman': {'mean': np.float64(0.18906243054278007), 'wmean': np.float64(0.24415453029590514)}}","{'pearson': {'mean': np.float64(0.2795641055695517), 'wmean': np.float64(0.2811113086907497)}, 'spearman': {'mean': np.float64(0.2854127201696833), 'wmean': np.float64(0.28551897835277174)}}","{'pearson': {'mean': np.float64(0.31630078914891724), 'wmean': np.float64(0.3182335596048385)}, 'spearman': {'mean': np.float64(0.35007780264406085), 'wmean': np.float64(0.3489652470007617)}}","{'pearson': {'mean': np.float64(0.3798410695817501), 'wmean': np.float64(0.3895370875298247)}, 'spearman': {'mean': np.float64(0.43875437885977064), 'wmean': np.float64(0.44810358759439434)}}"
bert-base,AVG_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5258140392223456), 'wmean': np.float64(0.5165981983012354)}, 'spearman': {'mean': np.float64(0.5330388708523213), 'wmean': np.float64(0.528258568721648)}}","{'pearson': {'mean': np.float64(0.4615643601276395), 'wmean': np.float64(0.5127527059318301)}, 'spearman': {'mean': np.float64(0.46518631222999024), 'wmean': np.float64(0.510567939698312)}}","{'pearson': {'mean': np.float64(0.5764255861088977), 'wmean': np.float64(0.578856214846025)}, 'spearman': {'mean': np.float64(0.5645044162003336), 'wmean': np.float64(0.566226668181978)}}","{'pearson': {'mean': np.float64(0.6414911765418909), 'wmean': np.float64(0.6495258749234691)}, 'spearman': {'mean': np.float64(0.648146902887239), 'wmean': np.float64(0.6542773641500194)}}","{'pearson': {'mean': np.float64(0.6208633839686389), 'wmean': np.float64(0.6279478204589277)}, 'spearman': {'mean': np.float64(0.6320902482095737), 'wmean': np.float64(0.6398140597593204)}}"
bert-base,SUM_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5258140229566617), 'wmean': np.float64(0.5165981810587212)}, 'spearman': {'mean': np.float64(0.5331177360268414), 'wmean': np.float64(0.5283101183245338)}}","{'pearson': {'mean': np.float64(0.4615644310607494), 'wmean': np.float64(0.5127527729236071)}, 'spearman': {'mean': np.float64(0.46518642650076236), 'wmean': np.float64(0.5105681111044702)}}","{'pearson': {'mean': np.float64(0.5764256073287823), 'wmean': np.float64(0.5788562385423525)}, 'spearman': {'mean': np.float64(0.5645036230614962), 'wmean': np.float64(0.5662265142870465)}}","{'pearson': {'mean': np.float64(0.6414912165898), 'wmean': np.float64(0.6495259042902654)}, 'spearman': {'mean': np.float64(0.6481395241154075), 'wmean': np.float64(0.654271702555949)}}","{'pearson': {'mean': np.float64(0.6208633719467282), 'wmean': np.float64(0.6279478077698367)}, 'spearman': {'mean': np.float64(0.6320903238526653), 'wmean': np.float64(0.6398141391654326)}}"
bert-base,MAX_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.4968508752675288), 'wmean': np.float64(0.4936192811075214)}, 'spearman': {'mean': np.float64(0.518964613914046), 'wmean': np.float64(0.5187317131185153)}}","{'pearson': {'mean': np.float64(0.42259269256766574), 'wmean': np.float64(0.5116433342559231)}, 'spearman': {'mean': np.float64(0.4211476238012355), 'wmean': np.float64(0.5070407488315588)}}","{'pearson': {'mean': np.float64(0.5692477191817055), 'wmean': np.float64(0.5663117654156336)}, 'spearman': {'mean': np.float64(0.5619952488328442), 'wmean': np.float64(0.5602078505166759)}}","{'pearson': {'mean': np.float64(0.6045239380780415), 'wmean': np.float64(0.6255971734319198)}, 'spearman': {'mean': np.float64(0.6128389194422146), 'wmean': np.float64(0.6333094870725655)}}","{'pearson': {'mean': np.float64(0.5574778970842289), 'wmean': np.float64(0.5656602240495788)}, 'spearman': {'mean': np.float64(0.5756911215906644), 'wmean': np.float64(0.5837769056688374)}}"
bert-base,AVG-NS_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5301426257069398), 'wmean': np.float64(0.5221930932096005)}, 'spearman': {'mean': np.float64(0.5382246583063524), 'wmean': np.float64(0.5345867498580134)}}","{'pearson': {'mean': np.float64(0.4761121191230422), 'wmean': np.float64(0.5304305180198496)}, 'spearman': {'mean': np.float64(0.4811403343121588), 'wmean': np.float64(0.5294168439409184)}}","{'pearson': {'mean': np.float64(0.5849981677072881), 'wmean': np.float64(0.5878902663504575)}, 'spearman': {'mean': np.float64(0.573630676772949), 'wmean': np.float64(0.5755570417857759)}}","{'pearson': {'mean': np.float64(0.6437398913414663), 'wmean': np.float64(0.6542929809600606)}, 'spearman': {'mean': np.float64(0.6513447038914865), 'wmean': np.float64(0.6598655735587393)}}","{'pearson': {'mean': np.float64(0.6159810121972089), 'wmean': np.float64(0.622525893221894)}, 'spearman': {'mean': np.float64(0.6305139603324136), 'wmean': np.float64(0.637815670147802)}}"
bert-base,SUM-NS_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.5301426609641413), 'wmean': np.float64(0.5221931278913448)}, 'spearman': {'mean': np.float64(0.5382503559809423), 'wmean': np.float64(0.5346032072416201)}}","{'pearson': {'mean': np.float64(0.476112173679311), 'wmean': np.float64(0.5304305382475987)}, 'spearman': {'mean': np.float64(0.4811395000979253), 'wmean': np.float64(0.529415592619568)}}","{'pearson': {'mean': np.float64(0.5849981626468214), 'wmean': np.float64(0.5878902678079905)}, 'spearman': {'mean': np.float64(0.5736334308372192), 'wmean': np.float64(0.5755589062354586)}}","{'pearson': {'mean': np.float64(0.6437399014463812), 'wmean': np.float64(0.6542929868843058)}, 'spearman': {'mean': np.float64(0.6513436246324438), 'wmean': np.float64(0.6598649006828954)}}","{'pearson': {'mean': np.float64(0.6159810420781762), 'wmean': np.float64(0.6225259281531106)}, 'spearman': {'mean': np.float64(0.6305139603324136), 'wmean': np.float64(0.637815670147802)}}"
bert-base,MAX-NS_LYR-7,torch.Size([768]),0,"{'pearson': {'mean': np.float64(0.4843168352979461), 'wmean': np.float64(0.4816975826263676)}, 'spearman': {'mean': np.float64(0.5130515561572493), 'wmean': np.float64(0.5128176417291742)}}","{'pearson': {'mean': np.float64(0.4203962459691293), 'wmean': np.float64(0.5097195281348397)}, 'spearman': {'mean': np.float64(0.4208601595123063), 'wmean': np.float64(0.5074021206579364)}}","{'pearson': {'mean': np.float64(0.5579400549040532), 'wmean': np.float64(0.5554083141357022)}, 'spearman': {'mean': np.float64(0.5535230069364735), 'wmean': np.float64(0.551791072204736)}}","{'pearson': {'mean': np.float64(0.5918417456745415), 'wmean': np.float64(0.6153353350764448)}, 'spearman': {'mean': np.float64(0.6034469296089436), 'wmean': np.float64(0.6258917848132118)}}","{'pearson': {'mean': np.float64(0.5386751623088298), 'wmean': np.float64(0.5465939185818387)}, 'spearman': {'mean': np.float64(0.5637906415336404), 'wmean': np.float64(0.5716842298959124)}}"
bert-base,CLS+AVG_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.40282760524780786), 'wmean': np.float64(0.37536193113855193)}, 'spearman': {'mean': np.float64(0.4179773638699718), 'wmean': np.float64(0.4006841485096365)}}","{'pearson': {'mean': np.float64(0.29572399149569595), 'wmean': np.float64(0.3545890683222728)}, 'spearman': {'mean': np.float64(0.29917035758806604), 'wmean': np.float64(0.35442463750562064)}}","{'pearson': {'mean': np.float64(0.41754792317668715), 'wmean': np.float64(0.41664809381162693)}, 'spearman': {'mean': np.float64(0.4112097085901989), 'wmean': np.float64(0.41000128269940966)}}","{'pearson': {'mean': np.float64(0.4670405230672584), 'wmean': np.float64(0.4665039411452701)}, 'spearman': {'mean': np.float64(0.48282571350395315), 'wmean': np.float64(0.4805670924133113)}}","{'pearson': {'mean': np.float64(0.5081502029207654), 'wmean': np.float64(0.5166192733500873)}, 'spearman': {'mean': np.float64(0.5349408557376898), 'wmean': np.float64(0.5434471057923251)}}"
bert-base,CLS+SUM_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.5241564330807035), 'wmean': np.float64(0.5141848004330861)}, 'spearman': {'mean': np.float64(0.5314898449994206), 'wmean': np.float64(0.5264305900465888)}}","{'pearson': {'mean': np.float64(0.4560537620056364), 'wmean': np.float64(0.5075520262748336)}, 'spearman': {'mean': np.float64(0.460358228984306), 'wmean': np.float64(0.5060095431006396)}}","{'pearson': {'mean': np.float64(0.5728174046452144), 'wmean': np.float64(0.5749623440906299)}, 'spearman': {'mean': np.float64(0.5613604060226457), 'wmean': np.float64(0.5628231853849671)}}","{'pearson': {'mean': np.float64(0.6400121591372223), 'wmean': np.float64(0.6475491970642292)}, 'spearman': {'mean': np.float64(0.6461601192095976), 'wmean': np.float64(0.6518931886640542)}}","{'pearson': {'mean': np.float64(0.6202063688480774), 'wmean': np.float64(0.6273902778673014)}, 'spearman': {'mean': np.float64(0.6316205923242342), 'wmean': np.float64(0.639453696700592)}}"
bert-base,CLS+MAX_LYR-7,torch.Size([1536]),0,"{'pearson': {'mean': np.float64(0.46146726286838324), 'wmean': np.float64(0.44680450250815207)}, 'spearman': {'mean': np.float64(0.478954377588131), 'wmean': np.float64(0.47031635441252845)}}","{'pearson': {'mean': np.float64(0.3535011499118445), 'wmean': np.float64(0.4325305379876385)}, 'spearman': {'mean': np.float64(0.3545890240202933), 'wmean': np.float64(0.4316397752159468)}}","{'pearson': {'mean': np.float64(0.505036138236067), 'wmean': np.float64(0.4967172383656992)}, 'spearman': {'mean': np.float64(0.4980062943101296), 'wmean': np.float64(0.4912737045073133)}}","{'pearson': {'mean': np.float64(0.5450190847661998), 'wmean': np.float64(0.5529626215440919)}, 'spearman': {'mean': np.float64(0.5530269822944527), 'wmean': np.float64(0.561288109122543)}}","{'pearson': {'mean': np.float64(0.5417205155083598), 'wmean': np.float64(0.5506311576543187)}, 'spearman': {'mean': np.float64(0.5517948246258241), 'wmean': np.float64(0.56086936072718)}}"
