,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,STS12,STS13,STS14,STS15,STS16,Avg
0,bert-base,CLS_LYR-7,torch.Size([768]),1,12,0,28.74085237784586,18.409039927799842,27.95641055695517,31.630078914891723,37.98410695817501,28.94409774713352
1,bert-base,AVG_LYR-7,torch.Size([768]),1,12,0,52.58140392223456,46.156436012763955,57.64255861088977,64.1491176541891,62.086338396863894,56.52317091938826
2,bert-base,SUM_LYR-7,torch.Size([768]),1,12,0,52.581402295666166,46.15644310607494,57.64256073287824,64.14912165898001,62.08633719467282,56.523172997654434
3,bert-base,MAX_LYR-7,torch.Size([768]),1,12,0,49.68508752675288,42.25926925676657,56.92477191817055,60.45239380780415,55.74778970842289,53.01386244358341
4,bert-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,53.01426257069398,47.61121191230422,58.499816770728806,64.37398913414663,61.59810121972089,57.0194763215189
5,bert-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,53.01426609641413,47.611217367931104,58.49981626468214,64.37399014463811,61.59810420781761,57.019478816296626
6,bert-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,48.43168352979461,42.03962459691293,55.79400549040532,59.18417456745415,53.867516230882984,51.86340088309
7,bert-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,40.282760524780784,29.572399149569595,41.754792317668716,46.70405230672584,50.81502029207654,41.825804918164295
8,bert-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,52.41564330807035,45.60537620056364,57.281740464521434,64.00121591372223,62.02063688480774,56.26492255433709
9,bert-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,46.14672628683832,35.35011499118445,50.5036138236067,54.501908476619974,54.172051550835974,48.13488302581709
10,bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,41.65273324919443,31.465685666322834,43.54155580444495,48.2461993992109,51.68394995747796,43.31802481533021
11,bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,52.84925366243376,46.946244857057955,58.10207693502613,64.26733416973607,61.63110816437081,56.759203557724945
12,bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,45.851392402103706,35.75001140427936,50.41204560014585,54.309040467879896,53.435766884625814,47.95165135180693
13,bert-base,DY3_LYR-7,torch.Size([2304]),1,12,0,43.36717376514641,22.371667435160703,38.68361947546807,50.517386913873054,41.610402638521016,39.31005004563385
14,bert-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,44.5077524012862,26.332633455574005,41.57662489509999,50.97323456719113,44.583302931870925,41.59470965020445
15,bert-base,DY5_LYR-7,torch.Size([3840]),1,12,0,38.99188895828228,18.531232069116644,31.508016545371603,43.61446552691583,29.19699312283574,32.36851924450442
16,bert-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,41.06377689221713,23.832618854149533,32.11490283491089,46.03215245738177,36.20713022070684,35.85011625187323
17,bert-base,CLS_LYR-8,torch.Size([768]),1,12,0,25.6438836570149,17.146708521448325,25.311319033634856,27.047382255047275,33.67080878810151,25.764020451049372
