,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,STS12,STS13,STS14,STS15,STS16,Avg
0,bert-base,CLS_LYR-7,torch.Size([768]),1,12,0,30.600239753143505,18.906243054278008,28.54127201696833,35.00778026440609,43.875437885977064,31.3861945949546
1,bert-base,AVG_LYR-7,torch.Size([768]),1,12,0,53.30388708523213,46.518631222999026,56.45044162003337,64.8146902887239,63.209024820957374,56.859335007589166
2,bert-base,SUM_LYR-7,torch.Size([768]),1,12,0,53.31177360268414,46.51864265007624,56.450362306149614,64.81395241154075,63.209032385266525,56.86075267114346
3,bert-base,MAX_LYR-7,torch.Size([768]),1,12,0,51.8964613914046,42.11476238012355,56.199524883284425,61.28389194422146,57.569112159066435,53.81275055162009
4,bert-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,53.82246583063524,48.11403343121588,57.3630676772949,65.13447038914865,63.05139603324136,57.497086672307205
5,bert-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,53.82503559809423,48.113950009792525,57.363343083721915,65.13436246324437,63.05139603324136,57.497617437618885
6,bert-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,51.30515561572493,42.086015951230635,55.35230069364735,60.34469296089436,56.37906415336404,53.09344587497226
7,bert-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,41.79773638699718,29.917035758806605,41.12097085901989,48.282571350395315,53.49408557376898,42.922479985797594
8,bert-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,53.14898449994207,46.0358228984306,56.13604060226457,64.61601192095976,63.16205923242342,56.61978383080408
9,bert-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,47.895437758813095,35.45890240202933,49.80062943101296,55.30269822944527,55.179482462582406,48.72743005677661
10,bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,43.15305594703845,31.775856463190927,42.72686796210588,49.59654899887339,54.23229066959719,44.29692400816117
11,bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,53.70028771617024,47.39674334190649,56.987068198442714,64.95861758221417,62.93699947440212,57.19594326262715
12,bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,47.827999180281466,35.77639255249005,49.789798556445675,55.213570333622464,54.89728038638655,48.70100820184524
13,bert-base,DY3_LYR-7,torch.Size([2304]),1,12,0,47.45185767912449,24.293049227513734,40.682883733882676,53.01129921326206,43.33865581414742,41.75554913358607
14,bert-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,49.04757026644416,27.201780165420793,42.83019165605091,53.22506714246011,45.9202366610903,43.64496917829325
15,bert-base,DY5_LYR-7,torch.Size([3840]),1,12,0,43.32199043865445,19.90920463587321,31.868457724432048,43.79788897516768,29.648519009339612,33.7092121566934
16,bert-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,44.42232241911707,22.776115240110993,33.16015394767663,46.52570384184212,35.59795190670222,36.496449471089804
17,bert-base,CLS_LYR-8,torch.Size([768]),1,12,0,29.095052536487692,17.93713467928184,26.73441378648486,30.952961676257672,41.39086653823334,29.222085843349078
18,bert-base,AVG_LYR-8,torch.Size([768]),1,12,0,52.60944059554825,46.333550599900356,55.27733715311175,63.832867810357605,62.0164495640599,56.013929144595565
19,bert-base,SUM_LYR-8,torch.Size([768]),1,12,0,52.622048547674474,46.33355046432049,55.27740643418543,63.832838502726915,62.0164495640599,56.01645870259343
20,bert-base,MAX_LYR-8,torch.Size([768]),1,12,0,51.0164397607898,40.849575499048925,54.853932655475724,61.19138834792989,58.02160708083309,53.18658866881549
21,bert-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,53.012470388926026,47.5369902327013,56.25323192004444,64.30776605798022,61.94994633078604,56.612080986087605
22,bert-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,53.00790525301,47.53657549005677,56.25322719671366,64.30776474672714,61.94994633078604,56.611083803458726
23,bert-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,50.17906134348343,41.0981457841814,54.26366266016195,59.974024451110694,56.52985965359147,52.40895077850579
24,bert-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,41.27216152935772,29.75325870494127,40.50139025525337,46.989942562984375,52.636002554253224,42.23055112135799
25,bert-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,52.49488141883306,45.79612356031237,54.98746166657432,63.67626258055669,61.90358736830663,55.7716633189166
26,bert-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,46.606490154222456,34.15781361999375,47.83800702316008,54.33358778450377,54.596200911142866,47.50641989860459
27,bert-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,42.46867880004713,31.507835812119957,42.07313853615188,48.56963027393337,53.342294573999695,43.5923155992504
28,bert-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,52.91661231009973,46.9277983259577,55.87555205595404,64.14242609330766,61.88648684040394,56.34977512514462
29,bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,46.295066592813505,34.7715920024999,48.074213346259825,54.336924283784384,54.318426314540126,47.55924450797955
30,bert-base,DY3_LYR-8,torch.Size([2304]),1,12,0,47.55439505816952,25.14917795713214,40.65228438987765,53.12408260294429,43.49422211303594,41.99483242423191
31,bert-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,49.19267425981014,27.832559374886518,42.53358316404858,53.376842613991556,46.08330512362133,43.80379290727163
32,bert-base,DY5_LYR-8,torch.Size([3840]),1,12,0,43.86851489463698,21.32708398536335,31.971891471329656,44.99730955522337,30.743333283846653,34.58162663808
33,bert-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,44.76802587813255,23.80151761278132,32.99954413489738,47.27172612507308,37.06567553854547,37.18129785788596
34,bert-base,CLS_LYR-9,torch.Size([768]),1,12,0,29.60346603872972,18.985969183955888,26.724987284504525,31.827110001812255,40.250174796975934,29.47834146119566
35,bert-base,AVG_LYR-9,torch.Size([768]),1,12,0,49.77315043792851,45.78491391647629,52.554176749201496,62.97911334288513,60.490367388867995,54.316344367071885
36,bert-base,SUM_LYR-9,torch.Size([768]),1,12,0,49.77601885911156,45.784786029585334,52.55390841121709,62.97900521822638,60.490046670759256,54.316753037779925
37,bert-base,MAX_LYR-9,torch.Size([768]),1,12,0,49.153868354350735,39.9801422677762,52.46205930005016,60.31663466935745,56.68570900433891,51.71968271917469
38,bert-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,50.66450449990859,47.22224765655814,53.82725696150024,63.85714324667926,60.72039579580183,55.258309632089606
39,bert-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,50.66011988986292,47.22224778768635,53.827351073737674,63.8572535887067,60.72039579580183,55.257473627159094
40,bert-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,48.44568028515329,40.27576071339667,52.315401851129096,59.640852583495686,55.97707579632798,51.33095424590054
41,bert-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,38.56582253398552,29.900875330321856,37.359672698585875,45.93984958440881,51.094444329761004,40.57213289541262
42,bert-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,49.68042126167937,45.44762745376207,52.26479766879286,62.80938715690132,60.406956498168704,54.121838007860866
43,bert-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,43.51677485603863,32.92962030395273,43.80090214979617,51.30144298843196,52.500570408319234,44.80986214130775
44,bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,39.5795304905251,31.27344522173743,38.710683490324435,47.40191534683883,51.922100652186884,41.77753504032253
45,bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,50.52535587731937,46.68849692176214,53.48378105484007,63.64668180217079,60.6401683611063,54.99689680343973
46,bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,43.377066203407686,33.420303274487416,44.249026483144334,51.56732320224645,52.5591598064158,45.034575793940334
47,bert-base,DY3_LYR-9,torch.Size([2304]),1,12,0,47.170086338755844,27.033094272938975,41.00999959636089,54.88478544774911,43.999039748449185,42.8194010808508
48,bert-base,DY3-NS_LYR-9,torch.Size([2304]),1,12,0,48.79277113056006,29.718607012654314,42.769889720561544,55.312510026377005,46.76879810077176,44.67251519818494
49,bert-base,DY5_LYR-9,torch.Size([3840]),1,12,0,43.973538178835966,23.82887105871012,32.78253217697961,48.06489014228667,32.09321427043301,36.14860916544908
50,bert-base,DY5-NS_LYR-9,torch.Size([3840]),1,12,0,44.71890931186403,25.55624056596697,33.64417508742494,49.97207078223037,38.35584772639121,38.449448694775505
51,bert-base,CLS_LYR-10,torch.Size([768]),1,12,0,28.565913460278242,18.357716209973297,26.43918629813366,31.218460870493743,39.882871537938044,28.892829675363394
52,bert-base,AVG_LYR-10,torch.Size([768]),1,12,0,50.73861038534165,51.8948592739129,54.589592464906126,64.23244407570455,64.06573294764532,57.10424782950211
53,bert-base,SUM_LYR-10,torch.Size([768]),1,12,0,50.73528113240522,51.8950259658517,54.589777858402336,64.23229101981003,64.06573039680826,57.10362127465551
54,bert-base,MAX_LYR-10,torch.Size([768]),1,12,0,49.74938659831651,46.242993549240396,54.344870117998326,62.222174332255,61.16920431981716,54.74572578352547
55,bert-base,AVG-NS_LYR-10,torch.Size([768]),1,12,0,51.91404102053543,53.4675294937125,55.96891126713196,65.22535960969297,64.54878066666865,58.224924411548294
56,bert-base,SUM-NS_LYR-10,torch.Size([768]),1,12,0,51.9181570547395,53.467612774415144,55.96947130505507,65.2251444950051,64.54878322848914,58.225833771540785
57,bert-base,MAX-NS_LYR-10,torch.Size([768]),1,12,0,49.34744211766492,46.207637981656745,54.23324324218668,61.66726339646548,60.487913618588586,54.388700071312485
58,bert-base,CLS+AVG_LYR-10,torch.Size([1536]),1,12,0,38.545800980405566,32.23970203860444,38.60995868858443,46.8468214651522,53.42203695565389,41.932864025680104
59,bert-base,CLS+SUM_LYR-10,torch.Size([1536]),1,12,0,50.62362188631118,51.456342875134965,54.33514902365674,64.05954354869972,64.0037938908589,56.895690244932304
60,bert-base,CLS+MAX_LYR-10,torch.Size([1536]),1,12,0,42.887588658325136,35.413822853179155,44.101173094417526,52.05382748221603,55.50865837290865,45.9930140922093
61,bert-base,CLS+AVG-NS_LYR-10,torch.Size([1536]),1,12,0,39.747464622239576,34.0024418609933,40.07641784449963,48.31691946863587,54.57546146238401,43.34374105175048
62,bert-base,CLS+SUM-NS_LYR-10,torch.Size([1536]),1,12,0,51.73573900421214,52.84551156978803,55.682649299230036,65.0056026506028,64.51649600904604,57.95719970657581
63,bert-base,CLS+MAX-NS_LYR-10,torch.Size([1536]),1,12,0,43.088819552651195,36.00341062177249,44.72499021028308,52.46368163644088,55.837940806353856,46.4237685655003
64,bert-base,DY3_LYR-10,torch.Size([2304]),1,12,0,48.65433699842173,33.02544950250823,43.70326352982472,56.89010149979421,48.24762785022044,46.10415587615387
65,bert-base,DY3-NS_LYR-10,torch.Size([2304]),1,12,0,50.45654796276675,35.65704677779398,45.255362417990376,57.303554826251315,51.13475276379755,47.96145294971999
66,bert-base,DY5_LYR-10,torch.Size([3840]),1,12,0,45.31018077921698,29.703790075964815,35.65807732567967,50.8568270640301,36.55551116116973,39.61687728121226
67,bert-base,DY5-NS_LYR-10,torch.Size([3840]),1,12,0,45.94168720025783,30.3059979908658,36.86861397116952,52.38204938789157,42.878412840312414,41.67535227809943
68,bert-base,CLS_LYR-11,torch.Size([768]),1,12,0,28.242627733276276,18.444038203814596,27.763232499883877,35.191371533839956,43.367505553638466,30.601755104890636
69,bert-base,AVG_LYR-11,torch.Size([768]),1,12,0,50.83660566787205,50.435567357366104,53.96117546067825,62.91845054601492,63.8520980411857,56.4007794146234
70,bert-base,SUM_LYR-11,torch.Size([768]),1,12,0,50.83342110703922,50.43564837168648,53.96125443652667,62.918343462211354,63.852090465427324,56.40015156857821
71,bert-base,MAX_LYR-11,torch.Size([768]),1,12,0,49.07556144493863,45.936675970644416,53.91789285793182,61.157798324648496,61.52173625361977,54.32193297035663
72,bert-base,AVG-NS_LYR-11,torch.Size([768]),1,12,0,51.95786908184251,52.160756376561444,55.18475709846902,63.826436942607245,64.22872047562417,57.47170799502088
73,bert-base,SUM-NS_LYR-11,torch.Size([768]),1,12,0,51.94425110122156,52.1606732292066,55.18462981369227,63.82654418911584,64.22872047562417,57.46896376177209
74,bert-base,MAX-NS_LYR-11,torch.Size([768]),1,12,0,48.58249529928253,45.79940962908371,53.49212380768061,60.774317529692176,60.65062576388864,53.85979440592554
75,bert-base,CLS+AVG_LYR-11,torch.Size([1536]),1,12,0,39.67045571493591,33.84879189133219,40.75447837675309,50.479466027403696,56.36678318319046,44.22399503872307
