Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base-uncased,_cls-1,0,"{'devacc': np.float64(67.43), 'acc': np.float64(67.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(71.44), 'acc': np.float64(70.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(86.63), 'acc': np.float64(86.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.45), 'acc': np.float64(83.22), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.85), 'acc': 74.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.69), 'acc': 37.01, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(67.02), 'acc': 71.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.17), 'acc': 69.51, 'f1': 80.18, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean-1,0,"{'devacc': np.float64(75.61), 'acc': np.float64(75.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.97), 'acc': np.float64(79.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.88), 'acc': np.float64(92.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.62), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.36), 'acc': 80.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.32), 'acc': 42.76, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.8), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.7), 'acc': 72.99, 'f1': 81.1, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(75.53), 'acc': np.float64(75.47), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.97), 'acc': np.float64(79.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.9), 'acc': np.float64(92.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.13), 'acc': 80.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.87), 'acc': 42.85, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.89), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.65), 'acc': 72.93, 'f1': 81.05, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean-1,0,"{'devacc': np.float64(75.59), 'acc': np.float64(75.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.04), 'acc': np.float64(79.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.91), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.68), 'acc': np.float64(88.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.13), 'acc': 80.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.05), 'acc': 44.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.22), 'acc': 86.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.48), 'acc': 73.39, 'f1': 81.18, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(75.58), 'acc': np.float64(75.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.94), 'acc': np.float64(79.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.92), 'acc': np.float64(93.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.41), 'acc': np.float64(88.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 80.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.87), 'acc': 43.85, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.24), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.24), 'acc': 73.1, 'f1': 81.08, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(75.69), 'acc': np.float64(75.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.61), 'acc': np.float64(79.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.92), 'acc': np.float64(93.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.74), 'acc': np.float64(88.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 76.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.78), 'acc': 40.45, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.32), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.61), 'acc': 68.7, 'f1': 76.94, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.34), 'acc': np.float64(75.18), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.46), 'acc': np.float64(79.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.97), 'acc': np.float64(93.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.59), 'acc': np.float64(87.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.38), 'acc': 76.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.05), 'acc': 40.32, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.32), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.06), 'acc': 70.26, 'f1': 78.79, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(75.28), 'acc': np.float64(75.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.26), 'acc': np.float64(78.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.89), 'acc': np.float64(93.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.66), 'acc': np.float64(86.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.92), 'acc': 76.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.33), 'acc': 41.27, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.86), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.87), 'acc': 67.83, 'f1': 77.79, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.04), 'acc': np.float64(75.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.73), 'acc': np.float64(77.51), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.89), 'acc': np.float64(93.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(38.06), 'acc': 39.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.87), 'acc': 86.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.0), 'acc': 67.36, 'f1': 76.8, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_cls-2,0,"{'devacc': np.float64(71.65), 'acc': np.float64(71.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(74.97), 'acc': np.float64(75.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.27), 'acc': np.float64(91.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.01), 'acc': np.float64(85.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(78.33), 'acc': 77.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.33), 'acc': 40.68, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(72.93), 'acc': 77.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.79), 'acc': 71.88, 'f1': 80.78, 'ndev': 4076, 'ntest': 1725}"
