Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
microsoft/deberta-v3-base,_cls-1,0,"{'devacc': np.float64(59.9), 'acc': np.float64(59.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.83), 'acc': np.float64(63.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(71.31), 'acc': np.float64(72.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(75.97), 'acc': np.float64(76.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(64.79), 'acc': 65.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(29.43), 'acc': 29.68, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(53.3), 'acc': 61.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean-1,0,"{'devacc': np.float64(77.41), 'acc': np.float64(77.83), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.77), 'acc': np.float64(80.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.53), 'acc': np.float64(92.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.51), 'acc': np.float64(89.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.23), 'acc': 44.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.1), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.58), 'acc': 73.62, 'f1': 80.99, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(77.32), 'acc': np.float64(77.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.74), 'acc': np.float64(80.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.49), 'acc': np.float64(92.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.2), 'acc': np.float64(89.34), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.33), 'acc': 44.25, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.88), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.56), 'acc': 73.33, 'f1': 81.18, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean-1,0,"{'devacc': np.float64(77.39), 'acc': np.float64(77.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.65), 'acc': np.float64(80.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.68), 'acc': np.float64(92.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.58), 'acc': np.float64(89.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.96), 'acc': 44.25, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.12), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.66), 'acc': 73.51, 'f1': 80.97, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(77.41), 'acc': np.float64(77.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.77), 'acc': np.float64(80.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.61), 'acc': np.float64(92.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.23), 'acc': np.float64(89.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.42), 'acc': 44.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.08), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.66), 'acc': 73.62, 'f1': 80.99, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(76.51), 'acc': np.float64(77.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.86), 'acc': np.float64(79.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.28), 'acc': np.float64(92.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.2), 'acc': np.float64(88.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 79.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.6), 'acc': 42.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.17), 'acc': 66.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.28), 'acc': 69.39, 'f1': 78.15, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(76.52), 'acc': np.float64(77.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.43), 'acc': np.float64(79.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.23), 'acc': np.float64(92.36), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.93), 'acc': 79.63, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.42), 'acc': 43.26, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.41), 'acc': 84.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.13), 'acc': 68.75, 'f1': 78.03, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(75.56), 'acc': np.float64(75.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.33), 'acc': np.float64(78.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.49), 'acc': np.float64(92.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.01), 'acc': 79.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.42), 'acc': 42.13, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.51), 'acc': 65.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.12), 'acc': 66.09, 'f1': 75.01, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.39), 'acc': np.float64(76.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.88), 'acc': np.float64(77.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.28), 'acc': np.float64(92.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.69), 'acc': 40.36, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.53), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.44), 'acc': 64.64, 'f1': 74.02, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_cls-2,0,"{'devacc': np.float64(59.42), 'acc': np.float64(59.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(72.89), 'acc': np.float64(73.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(69.38), 'acc': np.float64(69.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(64.91), 'acc': 64.74, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(31.15), 'acc': 30.36, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(35.62), 'acc': 39.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.96), 'acc': 67.71, 'f1': 80.0, 'ndev': 4076, 'ntest': 1725}"
