Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
microsoft/deberta-v3-large,_cls-1,0,"{'devacc': np.float64(57.65), 'acc': np.float64(57.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(74.35), 'acc': np.float64(74.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(65.25), 'acc': 63.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(31.15), 'acc': 28.51, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(36.19), 'acc': 38.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.64), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_mean-1,0,"{'devacc': np.float64(75.98), 'acc': np.float64(75.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.4), 'acc': np.float64(76.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.1), 'acc': np.float64(90.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.77), 'acc': np.float64(88.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 80.89, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.78), 'acc': 41.99, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.93), 'acc': 83.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.97), 'acc': 74.84, 'f1': 82.63, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.04), 'acc': np.float64(75.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.41), 'acc': np.float64(76.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.17), 'acc': np.float64(90.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.74), 'acc': np.float64(88.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.19), 'acc': 80.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.51), 'acc': 40.81, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.28), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.21), 'acc': 73.91, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_cls_with_mean-1,0,"{'devacc': np.float64(75.83), 'acc': np.float64(75.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.58), 'acc': np.float64(77.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.99), 'acc': np.float64(90.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.58), 'acc': np.float64(87.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 81.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.23), 'acc': 41.76, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.78), 'acc': 78.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.85), 'acc': 72.23, 'f1': 81.86, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.0), 'acc': np.float64(75.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.71), 'acc': np.float64(77.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.05), 'acc': np.float64(90.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.67), 'acc': np.float64(88.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 80.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.32), 'acc': 42.08, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.35), 'acc': 80.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.04), 'acc': 73.45, 'f1': 82.32, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(75.76), 'acc': np.float64(74.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.55), 'acc': np.float64(77.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.5), 'acc': np.float64(90.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.92), 'acc': np.float64(86.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 78.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.23), 'acc': 41.18, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.09), 'acc': 66.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.71), 'acc': 67.01, 'f1': 75.12, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.72), 'acc': np.float64(75.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.31), 'acc': np.float64(77.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.37), 'acc': np.float64(90.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.93), 'acc': 78.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.96), 'acc': 41.36, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.01), 'acc': 82.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.57), 'acc': 65.74, 'f1': 73.29, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(75.07), 'acc': np.float64(75.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.08), 'acc': np.float64(79.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.64), 'acc': np.float64(91.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.47), 'acc': 77.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.96), 'acc': 41.0, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.96), 'acc': 60.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.12), 'acc': 62.61, 'f1': 69.93, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.22), 'acc': np.float64(75.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.6), 'acc': np.float64(77.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.72), 'acc': np.float64(91.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.6), 'acc': 39.0, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.83), 'acc': 84.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.47), 'acc': 68.23, 'f1': 78.27, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-large,_cls-2,0,"{'devacc': np.float64(55.37), 'acc': np.float64(55.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(65.68), 'acc': np.float64(62.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(72.44), 'acc': np.float64(72.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(59.4), 'acc': 60.63, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(30.34), 'acc': 27.65, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(36.76), 'acc': 41.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
