Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
roberta-base,_cls-1,0,"{'devacc': np.float64(70.86), 'acc': np.float64(71.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(74.09), 'acc': np.float64(74.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.93), 'acc': np.float64(87.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(81.78), 'acc': np.float64(81.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.18), 'acc': 77.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(37.87), 'acc': 37.96, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(69.22), 'acc': 75.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.92), 'acc': 68.75, 'f1': 79.37, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean-1,0,"{'devacc': np.float64(76.64), 'acc': np.float64(76.37), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.39), 'acc': np.float64(80.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.38), 'acc': np.float64(92.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.29), 'acc': np.float64(86.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.69), 'acc': 43.35, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.0), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.85), 'acc': 75.19, 'f1': 82.52, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.57), 'acc': np.float64(76.37), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.34), 'acc': np.float64(80.69), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.39), 'acc': np.float64(92.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.44), 'acc': np.float64(86.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 82.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.87), 'acc': 43.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.57), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.83), 'acc': 74.61, 'f1': 82.4, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean-1,0,"{'devacc': np.float64(76.63), 'acc': np.float64(76.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.24), 'acc': np.float64(80.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.43), 'acc': np.float64(92.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.41), 'acc': np.float64(86.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 82.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.23), 'acc': 43.21, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.49), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.95), 'acc': 74.72, 'f1': 82.23, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.67), 'acc': np.float64(76.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.33), 'acc': np.float64(80.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.44), 'acc': np.float64(92.36), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.46), 'acc': np.float64(86.34), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 81.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.96), 'acc': 43.26, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.79), 'acc': 89.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.98), 'acc': 74.49, 'f1': 82.01, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(76.71), 'acc': np.float64(76.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.86), 'acc': np.float64(79.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.38), 'acc': np.float64(92.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.04), 'acc': np.float64(87.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.01), 'acc': 80.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.14), 'acc': 43.26, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.74), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.86), 'acc': 69.22, 'f1': 77.92, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(76.77), 'acc': np.float64(76.24), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.02), 'acc': np.float64(79.55), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.39), 'acc': np.float64(92.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.81), 'acc': np.float64(86.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.01), 'acc': 79.63, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.14), 'acc': 42.49, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.46), 'acc': 88.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.2), 'acc': 69.62, 'f1': 78.47, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(76.23), 'acc': np.float64(75.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.64), 'acc': np.float64(77.91), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.23), 'acc': np.float64(92.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.35), 'acc': np.float64(85.67), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 79.19, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.51), 'acc': 39.95, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.14), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.05), 'acc': 67.94, 'f1': 77.76, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(76.12), 'acc': np.float64(75.83), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.04), 'acc': np.float64(77.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.15), 'acc': np.float64(92.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 78.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.05), 'acc': 41.31, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.43), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.34), 'acc': 67.07, 'f1': 77.12, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_cls-2,0,"{'devacc': np.float64(69.73), 'acc': np.float64(68.86), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(69.11), 'acc': np.float64(69.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(86.43), 'acc': np.float64(86.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(77.41), 'acc': np.float64(77.42), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.43), 'acc': 77.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.33), 'acc': 37.01, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(61.37), 'acc': 64.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.63), 'acc': 69.28, 'f1': 79.08, 'ndev': 4076, 'ntest': 1725}"
