,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,answerdotai/ModernBERT-base,_cls-1,0,1,22,65.53,65.32,83.35,68.9,72.27,34.07,58.6,66.43,64.30875,68.62857142857143
1,answerdotai/ModernBERT-base,_mean-1,0,1,22,74.1,71.28,90.11,85.04,80.78,40.14,79.8,71.25,74.0625,78.90857142857145
2,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-1,0,1,22,74.27,72.29,89.98,85.83,79.96,39.82,80.4,70.67,74.15249999999999,79.05714285714285
3,answerdotai/ModernBERT-base,_concat_cls_with_mean-1,0,1,22,73.02,74.41,90.19,84.43,81.16,38.91,77.0,71.13,73.78125,78.76285714285714
4,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-1,0,1,22,73.67,75.74,90.31,85.54,80.72,39.82,81.2,69.86,74.6075,79.57714285714285
5,answerdotai/ModernBERT-base,_concat_mean_3_tokens-1,0,1,22,74.51,76.98,90.86,85.9,78.36,40.59,83.4,65.62,74.5275,79.37571428571428
6,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,22,74.23,77.16,90.76,85.9,78.91,39.91,82.4,65.39,74.33249999999998,79.24999999999999
7,answerdotai/ModernBERT-base,_concat_mean_5_tokens-1,0,1,22,74.06,77.88,91.7,85.39,78.75,39.64,82.4,69.74,74.945,79.98857142857142
8,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,22,73.64,77.22,91.05,68.77,78.25,38.87,84.2,65.39,72.17375,76.93142857142857
9,answerdotai/ModernBERT-base,_cls-2,0,1,22,65.9,65.72,86.27,75.7,74.68,34.71,66.0,65.74,66.83999999999999,71.42999999999999
10,answerdotai/ModernBERT-base,_mean-2,0,1,22,71.98,71.02,89.24,85.19,80.62,41.95,76.4,70.14,73.3175,77.79857142857144
11,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-2,0,1,22,72.77,71.84,89.35,85.76,80.78,42.08,81.2,70.96,74.3425,78.95142857142856
12,answerdotai/ModernBERT-base,_concat_cls_with_mean-2,0,1,22,72.52,73.8,90.43,84.78,80.72,39.86,78.2,69.45,73.72000000000001,78.55714285714285
13,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-2,0,1,22,73.32,74.62,90.69,85.66,80.83,41.04,79.4,69.68,74.405,79.17142857142858
14,answerdotai/ModernBERT-base,_concat_mean_3_tokens-2,0,1,22,73.79,76.18,90.75,85.97,78.2,41.49,86.2,63.25,74.47875,79.19142857142857
15,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,22,73.7,76.05,90.94,85.86,76.94,41.63,85.8,64.75,74.45875,79.14857142857143
16,answerdotai/ModernBERT-base,_concat_mean_5_tokens-2,0,1,22,73.31,77.06,90.82,85.23,77.1,40.5,85.2,67.19,74.55125000000001,79.41571428571429
17,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,22,73.35,74.17,91.3,68.77,76.77,40.18,87.2,67.59,72.41624999999999,77.02142857142857
18,answerdotai/ModernBERT-base,_cls-3,0,1,22,66.19,66.25,86.32,76.7,72.27,35.57,65.2,66.55,66.88125,71.35428571428571
19,answerdotai/ModernBERT-base,_mean-3,0,1,22,73.16,71.52,89.43,84.63,80.83,41.31,80.2,65.91,73.37375,77.9542857142857
20,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-3,0,1,22,72.75,72.85,89.93,85.64,81.11,41.45,85.0,64.46,74.14875,78.82000000000001
21,answerdotai/ModernBERT-base,_concat_cls_with_mean-3,0,1,22,73.5,74.91,90.4,84.3,80.78,36.65,82.6,65.86,73.625,78.90714285714286
22,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-3,0,1,22,73.93,75.07,90.69,85.47,81.27,42.17,85.6,65.51,74.96374999999999,79.64857142857143
23,answerdotai/ModernBERT-base,_concat_mean_3_tokens-3,0,1,22,74.53,76.69,90.92,85.68,78.47,41.18,87.2,65.8,75.05874999999999,79.89857142857143
24,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,22,74.33,77.22,91.03,85.98,78.31,40.9,87.8,66.14,75.21374999999999,80.11571428571429
25,answerdotai/ModernBERT-base,_concat_mean_5_tokens-3,0,1,22,73.05,76.58,90.69,85.27,78.64,39.59,86.4,68.64,74.85749999999999,79.89571428571428
26,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,1,22,74.11,74.97,91.12,68.77,78.42,39.68,87.6,67.13,72.725,77.44571428571429
27,answerdotai/ModernBERT-base,_cls-4,0,1,22,66.45,65.46,85.15,75.86,72.21,36.83,71.4,58.67,66.50375,70.74285714285715
