,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,answerdotai/ModernBERT-base,_cls-1,0,1,22,66.39,65.56,85.1,69.36,73.97,36.88,53.39,67.81,64.8075,68.79714285714286
1,answerdotai/ModernBERT-base,_mean-1,0,1,22,74.77,71.66,90.58,85.43,80.96,42.14,77.07,73.68,74.53625,79.16428571428571
2,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-1,0,1,22,75.07,73.22,90.59,86.03,81.08,42.05,77.42,73.18,74.82999999999998,79.51285714285713
3,answerdotai/ModernBERT-base,_concat_cls_with_mean-1,0,1,22,74.53,75.85,90.94,84.78,81.31,43.32,76.32,71.88,74.86625,79.37285714285714
4,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-1,0,1,22,74.65,76.03,91.03,85.87,80.85,42.51,76.89,71.61,74.93,79.56142857142858
5,answerdotai/ModernBERT-base,_concat_mean_3_tokens-1,0,1,22,75.23,78.2,91.54,85.67,78.56,42.42,83.35,70.78,75.71875,80.47571428571429
6,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,22,75.13,78.52,91.53,86.17,78.21,41.69,83.07,70.85,75.64625,80.49714285714285
7,answerdotai/ModernBERT-base,_concat_mean_5_tokens-1,0,1,22,74.69,78.48,91.97,85.56,78.78,41.24,84.15,70.49,75.67,80.58857142857143
8,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,22,74.56,78.04,91.77,68.77,77.52,40.51,84.04,70.88,73.26124999999999,77.93999999999998
9,answerdotai/ModernBERT-base,_cls-2,0,1,22,67.29,66.9,87.39,75.43,75.69,36.33,64.76,67.52,67.66375,72.14
10,answerdotai/ModernBERT-base,_mean-2,0,1,22,73.82,71.93,90.27,85.07,79.47,41.42,77.33,72.64,73.99374999999999,78.64714285714285
11,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-2,0,1,22,73.9,72.48,90.39,86.03,79.82,41.05,77.81,72.03,74.18875,78.92285714285713
12,answerdotai/ModernBERT-base,_concat_cls_with_mean-2,0,1,22,74.23,76.2,91.18,84.24,80.85,40.42,78.28,69.85,74.40625000000001,79.26142857142858
13,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-2,0,1,22,74.22,76.39,91.2,85.83,80.39,41.33,78.76,69.16,74.66,79.42142857142856
14,answerdotai/ModernBERT-base,_concat_mean_3_tokens-2,0,1,22,74.37,77.99,91.52,85.79,76.61,41.33,83.31,69.48,75.05000000000001,79.86714285714287
15,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,22,74.32,78.01,91.53,86.0,75.69,40.42,83.27,70.14,74.9225,79.85142857142857
16,answerdotai/ModernBERT-base,_concat_mean_5_tokens-2,0,1,22,74.11,78.0,91.78,85.42,77.18,39.15,84.3,70.26,75.02499999999999,80.15
17,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,22,73.84,77.89,91.68,68.77,76.26,39.33,84.21,69.48,72.68249999999999,77.44714285714285
18,answerdotai/ModernBERT-base,_cls-3,0,1,22,67.17,67.02,87.6,76.38,75.69,37.51,65.57,66.39,67.91624999999999,72.25999999999999
19,answerdotai/ModernBERT-base,_mean-3,0,1,22,74.48,72.05,90.37,85.13,79.7,41.87,76.78,67.76,73.5175,78.03857142857143
20,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-3,0,1,22,74.71,72.73,90.48,85.94,80.16,41.6,77.71,67.54,73.85875,78.46714285714286
21,answerdotai/ModernBERT-base,_concat_cls_with_mean-3,0,1,22,74.34,76.31,91.36,84.21,80.5,40.42,78.03,67.86,74.12875,78.94428571428571
22,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-3,0,1,22,74.28,76.23,91.45,85.56,80.16,41.78,79.26,67.76,74.55999999999999,79.24285714285713
23,answerdotai/ModernBERT-base,_concat_mean_3_tokens-3,0,1,22,74.9,78.04,91.35,85.82,78.21,41.87,83.68,68.18,75.25625,80.0257142857143
24,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,22,74.93,78.49,91.54,86.1,77.41,41.14,83.69,68.42,75.21499999999999,80.08285714285715
25,answerdotai/ModernBERT-base,_concat_mean_5_tokens-3,0,1,22,74.5,78.75,91.77,85.4,78.33,40.15,84.83,70.02,75.46874999999999,80.5142857142857
26,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,1,22,74.34,78.54,91.62,68.77,78.33,39.96,83.91,70.9,73.29624999999999,78.05857142857143
27,answerdotai/ModernBERT-base,_cls-4,0,1,22,67.23,66.72,86.84,76.17,74.43,37.97,64.18,65.8,67.4175,71.62428571428572
28,answerdotai/ModernBERT-base,_mean-4,0,1,22,73.98,71.66,89.8,84.4,80.39,42.42,75.26,67.54,73.18125,77.57571428571428
29,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-4,0,1,22,74.11,72.05,89.78,85.73,79.93,41.6,77.16,67.54,73.4875,78.04285714285713
30,answerdotai/ModernBERT-base,_concat_cls_with_mean-4,0,1,22,73.97,74.29,91.12,83.66,80.39,41.78,78.67,67.17,73.88124999999998,78.46714285714286
31,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-4,0,1,22,74.33,74.74,91.24,85.32,79.7,41.69,78.8,67.54,74.16999999999999,78.80999999999999
32,answerdotai/ModernBERT-base,_concat_mean_3_tokens-4,0,1,22,74.52,77.73,91.01,85.53,78.67,42.87,83.62,68.08,75.25375000000001,79.88
33,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-4,0,1,22,74.61,78.03,91.08,85.91,77.98,42.87,83.33,68.4,75.27625,79.9057142857143
34,answerdotai/ModernBERT-base,_concat_mean_5_tokens-4,0,1,22,74.33,78.07,91.49,85.26,78.1,41.6,84.67,70.19,75.46375,80.30142857142857
