Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base-uncased,_cls-1,0,"{'devacc': np.float64(60.82), 'acc': np.float64(59.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(77.98), 'acc': np.float64(77.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.78), 'acc': np.float64(69.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(69.61), 'acc': 68.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(30.79), 'acc': 32.17, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(47.25), 'acc': 49.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.71), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean-1,0,"{'devacc': np.float64(74.78), 'acc': np.float64(73.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.65), 'acc': np.float64(74.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.55), 'acc': np.float64(90.81), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.37), 'acc': np.float64(87.83), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 80.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.32), 'acc': 43.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.72), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.58), 'acc': 73.57, 'f1': 81.85, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(74.91), 'acc': np.float64(73.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.08), 'acc': np.float64(76.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.61), 'acc': np.float64(90.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.58), 'acc': np.float64(88.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.59), 'acc': 80.34, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.51), 'acc': 42.17, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.4), 'acc': 81.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.38), 'acc': 73.22, 'f1': 82.02, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean-1,0,"{'devacc': np.float64(74.5), 'acc': np.float64(72.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(74.65), 'acc': np.float64(73.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.37), 'acc': np.float64(91.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(87.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 81.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 42.53, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(75.53), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.23), 'acc': 72.17, 'f1': 81.5, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(74.66), 'acc': np.float64(73.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.26), 'acc': np.float64(73.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.51), 'acc': np.float64(91.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.57), 'acc': np.float64(88.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.01), 'acc': 79.52, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.96), 'acc': 43.3, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.12), 'acc': 78.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.45), 'acc': 70.03, 'f1': 81.32, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(75.65), 'acc': np.float64(74.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.58), 'acc': np.float64(76.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.58), 'acc': np.float64(91.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.0), 'acc': np.float64(88.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 76.61, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.87), 'acc': 40.77, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.34), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.0), 'acc': 67.83, 'f1': 75.92, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.48), 'acc': np.float64(74.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.88), 'acc': np.float64(77.14), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.52), 'acc': np.float64(91.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.55), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.92), 'acc': 77.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.78), 'acc': 38.73, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.13), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.25), 'acc': 68.12, 'f1': 76.15, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(75.88), 'acc': np.float64(75.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.01), 'acc': np.float64(77.62), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.81), 'acc': np.float64(92.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.97), 'acc': np.float64(87.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.95), 'acc': 76.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.42), 'acc': 41.22, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.35), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.07), 'acc': 67.36, 'f1': 78.12, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(75.8), 'acc': np.float64(75.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.66), 'acc': np.float64(78.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.67), 'acc': np.float64(92.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.87), 'acc': 40.23, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.06), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.32), 'acc': 66.49, 'f1': 75.88, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_cls-2,0,"{'devacc': np.float64(65.17), 'acc': np.float64(64.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.77), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.12), 'acc': np.float64(85.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.81), 'acc': np.float64(69.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 74.35, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(33.33), 'acc': 32.67, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(50.79), 'acc': 45.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.38), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
