,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls-1,0,1,12,59.96,63.76,77.78,69.68,68.86,32.17,49.4,66.49,61.0125,65.13285714285715
1,bert-base-uncased,_mean-1,0,1,12,73.55,74.86,90.81,87.83,80.62,43.12,79.8,73.57,75.52000000000001,80.14857142857143
2,bert-base-uncased,_mean_exclude_cls_sep-1,0,1,12,73.72,76.03,90.87,88.39,80.34,42.17,81.0,73.22,75.7175,80.51
3,bert-base-uncased,_concat_cls_with_mean-1,0,1,12,72.77,73.43,91.14,87.77,81.05,42.53,79.8,72.17,75.08249999999998,79.73285714285714
4,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,1,12,73.38,73.99,91.17,88.35,79.52,43.3,78.8,70.03,74.8175,79.32000000000001
5,bert-base-uncased,_concat_mean_3_tokens-1,0,1,12,74.87,76.93,91.94,88.72,76.61,40.77,85.6,67.83,75.40875000000001,80.35714285714288
6,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,12,74.11,77.14,91.96,88.44,77.05,38.73,87.0,68.12,75.31875000000001,80.54571428571428
7,bert-base-uncased,_concat_mean_5_tokens-1,0,1,12,75.6,77.62,92.77,87.9,76.66,41.22,87.4,67.36,75.81625,80.75857142857141
8,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,12,75.03,78.15,92.27,68.77,50.08,40.23,86.0,66.49,69.6275,73.82714285714285
9,bert-base-uncased,_cls-2,0,1,12,64.65,63.76,85.98,69.92,74.35,32.67,45.4,66.49,62.902499999999996,67.22142857142856
10,bert-base-uncased,_mean-2,0,1,12,74.44,77.32,92.09,87.8,80.12,41.58,81.2,73.97,76.065,80.99142857142856
11,bert-base-uncased,_mean_exclude_cls_sep-2,0,1,12,74.27,76.98,92.26,88.33,80.12,41.22,80.4,72.17,75.71874999999999,80.64714285714285
12,bert-base-uncased,_concat_cls_with_mean-2,0,1,12,74.05,74.2,91.53,87.91,80.89,41.81,83.6,72.29,75.785,80.63857142857141
13,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-2,0,1,12,73.9,74.7,91.65,88.45,80.18,41.76,81.8,72.64,75.635,80.47428571428573
14,bert-base-uncased,_concat_mean_3_tokens-2,0,1,12,74.79,78.6,91.92,88.79,77.27,39.1,87.6,67.77,75.73,80.96285714285715
15,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,12,75.02,78.99,92.24,88.2,76.5,39.1,86.6,68.12,75.59625,80.80999999999999
16,bert-base-uncased,_concat_mean_5_tokens-2,0,1,12,75.49,78.09,92.76,87.71,76.66,39.1,88.0,68.06,75.73374999999999,80.96714285714286
17,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,12,75.75,77.93,92.95,68.77,50.08,39.05,86.0,64.64,69.39625,73.73142857142857
18,bert-base-uncased,_cls-3,0,1,12,65.08,63.76,86.32,70.05,75.23,32.4,47.2,66.49,63.31625,67.73285714285714
19,bert-base-uncased,_mean-3,0,1,12,75.0,76.72,91.89,88.21,80.62,41.31,83.2,73.57,76.315,81.3157142857143
20,bert-base-uncased,_mean_exclude_cls_sep-3,0,1,12,75.26,76.4,91.75,88.24,80.45,41.76,85.8,73.57,76.65375,81.63857142857144
21,bert-base-uncased,_concat_cls_with_mean-3,0,1,12,73.81,74.46,91.85,88.13,80.83,42.13,78.8,68.7,74.83875,79.51142857142858
22,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-3,0,1,12,73.91,74.09,91.89,88.33,80.67,42.31,85.4,72.52,76.14,80.97285714285714
23,bert-base-uncased,_concat_mean_3_tokens-3,0,1,12,74.96,78.36,92.87,88.24,77.65,41.4,85.6,66.9,75.7475,80.65428571428572
24,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,12,74.76,78.57,92.96,88.21,77.48,41.4,87.6,68.12,76.13749999999999,81.1
25,bert-base-uncased,_concat_mean_5_tokens-3,0,1,12,75.69,78.17,92.9,87.55,77.32,40.0,88.8,68.17,76.07499999999999,81.22857142857143
26,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,1,12,75.62,76.13,92.71,68.77,50.08,38.01,86.6,66.84,69.345,73.82142857142857
27,bert-base-uncased,_cls-4,0,1,12,68.65,63.95,90.04,84.31,75.89,38.69,57.4,66.78,68.21375,72.43142857142857
28,bert-base-uncased,_mean-4,0,1,12,75.55,76.05,92.69,87.81,81.44,42.4,86.8,73.91,77.08125,82.03571428571429
29,bert-base-uncased,_mean_exclude_cls_sep-4,0,1,12,75.85,77.72,92.04,88.02,81.16,41.81,89.6,73.51,77.46374999999999,82.55714285714285
30,bert-base-uncased,_concat_cls_with_mean-4,0,1,12,74.8,74.73,92.36,88.02,80.94,42.44,87.8,72.75,76.72999999999999,81.62857142857142
31,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-4,0,1,12,75.13,75.1,92.14,88.21,81.33,41.72,86.8,73.74,76.77125,81.77857142857142
