,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls-1,0,1,12,60.82,63.76,77.98,68.78,69.61,30.79,47.25,67.71,60.837500000000006,65.13000000000001
1,bert-base-uncased,_mean-1,0,1,12,74.78,77.65,91.55,88.37,79.82,43.32,76.72,73.58,75.72375000000001,80.35285714285715
2,bert-base-uncased,_mean_exclude_cls_sep-1,0,1,12,74.91,78.08,91.61,88.58,79.59,43.51,77.4,73.38,75.8825,80.50714285714285
3,bert-base-uncased,_concat_cls_with_mean-1,0,1,12,74.5,74.65,91.37,88.54,79.7,42.05,75.53,72.23,74.82125,79.50285714285714
4,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,0,1,12,74.66,75.26,91.51,88.57,79.01,41.96,76.12,72.45,74.9425,79.65428571428572
5,bert-base-uncased,_concat_mean_3_tokens-1,0,1,12,75.65,78.58,92.58,89.0,76.15,41.87,83.34,71.0,76.02125000000001,80.9
6,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,12,75.48,78.88,92.52,88.55,75.92,40.78,83.13,71.25,75.81375,80.81857142857143
7,bert-base-uncased,_concat_mean_5_tokens-1,0,1,12,75.88,79.01,92.81,87.97,76.95,40.42,83.35,71.07,75.9325,81.00571428571428
8,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,12,75.8,78.66,92.67,68.77,49.08,39.87,84.06,71.32,70.02875,74.33714285714284
9,bert-base-uncased,_cls-2,0,1,12,65.17,63.77,87.12,68.81,75.46,33.33,50.79,68.38,64.10374999999999,68.5
10,bert-base-uncased,_mean-2,0,1,12,75.32,78.37,92.51,88.31,79.24,42.96,77.7,73.26,75.95875,80.67285714285715
11,bert-base-uncased,_mean_exclude_cls_sep-2,0,1,12,75.38,79.08,92.58,88.51,79.36,43.42,78.48,73.33,76.2675,80.96000000000001
12,bert-base-uncased,_concat_cls_with_mean-2,0,1,12,75.19,74.89,92.31,88.38,79.93,42.87,77.37,70.63,75.19625,79.81428571428572
13,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-2,0,1,12,75.26,75.97,92.38,88.57,80.28,42.05,77.68,72.08,75.53375000000001,80.31714285714285
14,bert-base-uncased,_concat_mean_3_tokens-2,0,1,12,75.75,79.31,93.08,88.9,76.95,42.33,83.6,70.98,76.3625,81.2242857142857
15,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,12,75.8,79.53,93.18,88.41,76.61,41.24,83.66,71.15,76.19749999999999,81.19142857142856
16,bert-base-uncased,_concat_mean_5_tokens-2,0,1,12,76.25,79.74,93.35,87.76,78.1,40.15,84.56,70.93,76.35500000000002,81.52714285714286
17,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,12,75.95,79.53,93.29,68.77,49.08,40.51,85.01,71.1,70.405,74.67571428571429
18,bert-base-uncased,_cls-3,0,1,12,65.04,63.76,87.65,68.83,76.49,32.33,47.63,67.79,63.690000000000005,68.17
19,bert-base-uncased,_mean-3,0,1,12,75.68,78.47,92.66,88.45,81.19,42.78,79.55,72.89,76.45875,81.27
20,bert-base-uncased,_mean_exclude_cls_sep-3,0,1,12,75.81,78.66,92.74,88.55,80.96,42.51,79.95,73.11,76.53625,81.39714285714285
21,bert-base-uncased,_concat_cls_with_mean-3,0,1,12,75.45,73.69,92.26,88.39,80.73,42.78,78.26,71.52,75.38499999999999,80.04285714285713
