,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,microsoft/deberta-v3-base,_cls-1,0,1,12,52.74,63.76,57.52,68.77,57.94,27.19,41.4,66.49,54.47625,58.37428571428571
1,microsoft/deberta-v3-base,_mean-1,0,1,12,75.61,72.53,90.35,89.12,82.1,42.99,83.4,74.26,76.295,81.05285714285715
2,microsoft/deberta-v3-base,_mean_exclude_cls_sep-1,0,1,12,75.46,74.97,90.79,88.84,81.0,42.22,82.6,73.33,76.15125000000002,80.99857142857145
3,microsoft/deberta-v3-base,_concat_cls_with_mean-1,0,1,12,74.85,75.23,90.32,88.97,81.82,43.17,81.8,72.17,76.04124999999999,80.73714285714286
4,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-1,0,1,12,75.99,76.5,90.27,88.8,81.71,43.3,83.2,72.93,76.5875,81.34285714285714
5,microsoft/deberta-v3-base,_concat_mean_3_tokens-1,0,1,12,75.94,78.68,91.74,88.65,80.23,42.71,64.4,67.94,73.78625,78.22571428571428
6,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,12,76.26,77.67,91.77,68.77,80.4,42.67,85.6,66.9,73.755,78.19571428571429
7,microsoft/deberta-v3-base,_concat_mean_5_tokens-1,0,1,12,75.85,78.81,91.94,68.77,79.96,42.49,60.6,62.03,70.05625,73.99428571428572
8,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,12,75.56,77.38,92.23,68.77,50.08,41.63,86.6,67.71,69.995,74.04714285714286
9,microsoft/deberta-v3-base,_cls-2,0,1,12,53.21,63.76,56.03,68.77,55.41,28.64,32.0,66.49,53.03874999999999,56.52428571428571
10,microsoft/deberta-v3-base,_mean-2,0,1,12,75.92,74.09,90.68,88.83,81.99,44.12,86.4,72.93,76.87,81.54857142857142
11,microsoft/deberta-v3-base,_mean_exclude_cls_sep-2,0,1,12,76.01,74.6,91.11,89.01,81.82,44.25,84.6,72.87,76.78375,81.43142857142857
12,microsoft/deberta-v3-base,_concat_cls_with_mean-2,0,1,12,76.57,74.73,90.96,89.0,82.1,44.39,81.4,73.04,76.52374999999999,81.11428571428571
13,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-2,0,1,12,75.95,75.87,90.85,89.02,81.66,43.8,85.6,73.04,76.97375,81.71285714285715
14,microsoft/deberta-v3-base,_concat_mean_3_tokens-2,0,1,12,76.63,78.73,92.13,88.49,80.45,43.08,65.6,68.12,74.15375,78.59285714285714
15,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,12,76.62,78.73,92.39,68.77,81.05,42.44,86.8,67.07,74.23374999999999,78.7757142857143
16,microsoft/deberta-v3-base,_concat_mean_5_tokens-2,0,1,12,76.51,79.05,92.9,68.77,80.07,42.08,66.0,62.78,71.02,75.15428571428572
17,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,12,76.43,78.89,92.56,68.77,50.08,42.04,89.4,68.64,70.85125,74.96714285714286
18,microsoft/deberta-v3-base,_cls-3,0,1,12,56.49,63.76,59.89,68.77,63.98,26.61,37.4,66.49,55.42375,59.54
19,microsoft/deberta-v3-base,_mean-3,0,1,12,77.68,76.42,91.75,88.52,84.35,44.48,88.0,71.94,77.89250000000001,82.6657142857143
20,microsoft/deberta-v3-base,_mean_exclude_cls_sep-3,0,1,12,77.72,77.38,91.8,89.38,84.13,44.84,89.2,73.16,78.45125,83.25285714285714
21,microsoft/deberta-v3-base,_concat_cls_with_mean-3,0,1,12,78.23,76.24,91.75,88.71,84.18,44.66,87.2,73.1,78.00875,82.77285714285713
22,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-3,0,1,12,77.98,77.48,91.94,89.06,84.62,44.71,87.0,73.28,78.25874999999999,83.05142857142857
23,microsoft/deberta-v3-base,_concat_mean_3_tokens-3,0,1,12,78.12,78.44,93.17,88.75,82.65,44.03,72.4,67.83,75.67375,80.19428571428571
24,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,12,78.27,79.15,93.05,68.77,82.15,44.34,88.8,67.36,75.23625,79.64999999999999
25,microsoft/deberta-v3-base,_concat_mean_5_tokens-3,0,1,12,78.26,80.13,93.27,68.77,81.71,44.34,72.2,62.43,72.63874999999999,76.68142857142855
26,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-3,0,1,12,78.17,79.39,93.46,68.77,50.08,44.52,90.6,67.88,71.60874999999999,75.47857142857141
27,microsoft/deberta-v3-base,_cls-4,0,1,12,50.59,63.76,57.43,68.77,49.92,28.64,18.8,66.49,50.550000000000004,53.68000000000001
28,microsoft/deberta-v3-base,_mean-4,0,1,12,79.28,78.12,92.32,89.27,85.34,44.25,89.8,71.77,78.76875,83.7
29,microsoft/deberta-v3-base,_mean_exclude_cls_sep-4,0,1,12,79.24,78.81,92.5,89.36,85.5,45.2,90.2,73.68,79.31125,84.1842857142857
30,microsoft/deberta-v3-base,_concat_cls_with_mean-4,0,1,12,79.51,77.11,91.28,89.36,85.5,45.16,90.2,72.93,78.88125,83.69857142857144
31,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-4,0,1,12,79.66,80.05,91.36,89.6,85.56,45.61,90.6,74.26,79.58749999999999,84.44142857142856
32,microsoft/deberta-v3-base,_concat_mean_3_tokens-4,0,1,12,79.92,81.38,93.71,89.46,83.8,45.2,82.8,67.01,77.91,82.58285714285715
33,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-4,0,1,12,80.03,80.9,93.49,68.77,83.75,44.34,88.8,67.36,75.92999999999999,80.44285714285715
34,microsoft/deberta-v3-base,_concat_mean_5_tokens-4,0,1,12,79.81,82.22,93.98,68.77,83.53,45.84,79.2,66.38,74.96625,79.12714285714284
35,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-4,0,1,12,80.04,82.12,94.3,68.77,50.08,46.2,91.8,67.83,72.6425,76.42
36,microsoft/deberta-v3-base,_cls-5,0,1,12,51.95,63.76,66.08,68.77,59.64,28.64,18.8,66.49,53.01625,56.49857142857143
37,microsoft/deberta-v3-base,_mean-5,0,1,12,80.14,79.89,93.5,89.98,85.23,46.11,92.4,73.45,80.0875,84.94142857142857
38,microsoft/deberta-v3-base,_mean_exclude_cls_sep-5,0,1,12,80.31,79.2,93.59,90.18,86.22,46.38,91.4,74.78,80.2575,85.09714285714286
