,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,microsoft/deberta-v3-base,_cls-1,0,1,12,54.11,63.76,58.84,68.77,58.26,28.34,39.12,67.54,54.8425,58.62857142857143
1,microsoft/deberta-v3-base,_mean-1,0,1,12,76.39,77.07,91.18,89.34,82.91,42.69,80.43,72.35,76.545,81.38142857142857
2,microsoft/deberta-v3-base,_mean_exclude_cls_sep-1,0,1,12,76.44,76.84,91.31,89.26,82.57,42.96,80.83,73.16,76.67125,81.48714285714286
3,microsoft/deberta-v3-base,_concat_cls_with_mean-1,0,1,12,76.3,76.87,91.04,89.11,82.57,43.87,79.95,71.07,76.3475,80.98714285714287
4,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-1,0,1,12,76.32,77.53,91.11,89.12,82.8,43.78,80.43,72.69,76.7225,81.42857142857143
5,microsoft/deberta-v3-base,_concat_mean_3_tokens-1,0,1,12,76.49,79.13,92.18,88.79,80.28,44.14,84.37,71.05,77.05375,81.75571428571428
6,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,1,12,76.52,79.51,92.14,68.77,80.62,44.69,84.87,71.76,74.86,79.17
7,microsoft/deberta-v3-base,_concat_mean_5_tokens-1,0,1,12,76.0,78.98,92.45,68.77,80.05,42.42,85.18,70.93,74.3475,78.90857142857143
8,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,1,12,76.12,78.92,92.41,68.77,49.08,42.69,85.09,71.59,70.58375000000001,74.56857142857143
9,microsoft/deberta-v3-base,_cls-2,0,1,12,54.52,63.76,57.04,68.77,55.39,26.25,26.47,67.54,52.467499999999994,56.21285714285714
10,microsoft/deberta-v3-base,_mean-2,0,1,12,76.92,76.27,91.65,89.45,82.91,45.41,79.81,72.6,76.87750000000001,81.37285714285714
11,microsoft/deberta-v3-base,_mean_exclude_cls_sep-2,0,1,12,76.99,76.64,91.86,89.39,82.68,45.41,80.45,73.41,77.10375,81.63142857142857
12,microsoft/deberta-v3-base,_concat_cls_with_mean-2,0,1,12,76.88,77.35,91.63,89.5,82.68,44.41,80.25,73.28,76.9975,81.65285714285714
13,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-2,0,1,12,76.97,78.16,91.79,89.38,82.45,44.5,80.41,73.45,77.13875,81.80142857142857
14,microsoft/deberta-v3-base,_concat_mean_3_tokens-2,0,1,12,77.25,79.99,92.78,89.0,80.62,45.96,85.03,71.05,77.71,82.24571428571427
15,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,1,12,77.34,80.23,92.77,68.77,80.85,44.78,85.73,70.76,75.15374999999999,79.49285714285713
16,microsoft/deberta-v3-base,_concat_mean_5_tokens-2,0,1,12,77.06,80.2,92.99,68.77,80.39,42.96,85.66,70.71,74.8425,79.39714285714285
17,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,1,12,77.24,80.15,93.11,68.77,49.08,43.69,85.58,71.07,71.08624999999999,75.0
18,microsoft/deberta-v3-base,_cls-3,0,1,12,58.63,63.76,65.84,68.77,64.45,29.16,40.0,67.54,57.268750000000004,61.284285714285716
19,microsoft/deberta-v3-base,_mean-3,0,1,12,78.41,78.26,92.51,89.35,84.75,44.41,80.65,73.33,77.70875,82.46571428571428
20,microsoft/deberta-v3-base,_mean_exclude_cls_sep-3,0,1,12,78.55,78.44,92.7,89.59,84.06,44.41,81.66,73.82,77.90375,82.68857142857142
21,microsoft/deberta-v3-base,_concat_cls_with_mean-3,0,1,12,78.5,78.56,92.61,89.27,84.75,44.78,81.27,73.38,77.89,82.61999999999999
22,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-3,0,1,12,78.5,79.24,92.7,89.58,84.17,44.78,81.8,73.67,78.05499999999999,82.80857142857143
23,microsoft/deberta-v3-base,_concat_mean_3_tokens-3,0,1,12,79.0,80.83,93.56,89.27,82.22,45.41,85.91,70.71,78.36375,83.07142857142857
24,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,1,12,78.86,80.58,93.5,68.77,81.42,45.05,86.7,70.63,75.68875,80.0657142857143
25,microsoft/deberta-v3-base,_concat_mean_5_tokens-3,0,1,12,78.78,81.13,93.79,68.77,82.68,45.78,86.59,70.81,76.04124999999999,80.36428571428571
