Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base-uncased,_cls-1,1,"{'devacc': np.float64(59.17), 'acc': np.float64(58.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(73.81), 'acc': np.float64(73.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(69.84), 'acc': 67.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean-1,1,"{'devacc': np.float64(73.01), 'acc': np.float64(72.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.65), 'acc': np.float64(90.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.32), 'acc': np.float64(87.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.05), 'acc': 80.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_exclude_cls_sep-1,1,"{'devacc': np.float64(73.26), 'acc': np.float64(72.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.79), 'acc': np.float64(90.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.41), 'acc': np.float64(87.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 80.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(50.92), 'acc': 49.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(26.25), 'acc': 28.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(24.94), 'acc': 24.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.98), 'acc': 80.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(26.25), 'acc': 28.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(25.07), 'acc': 25.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(36.24), 'acc': np.float64(36.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.72), 'acc': 77.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.06), 'acc': 39.41, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(39.64), 'acc': 30.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(36.24), 'acc': np.float64(36.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.49), 'acc': 78.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.33), 'acc': 39.59, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(35.49), 'acc': 48.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(31.23), 'acc': np.float64(31.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.61), 'acc': 77.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(28.16), 'acc': 27.06, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(41.07), 'acc': 40.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,1,"{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(50.0), 'acc': np.float64(50.0), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(28.43), 'acc': 26.74, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(40.63), 'acc': 39.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(32.46), 'acc': 33.51, 'f1': 0.0, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_cls-2,1,"{'devacc': np.float64(62.03), 'acc': np.float64(61.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(84.43), 'acc': np.float64(83.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.69), 'acc': 74.57, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(20.8), 'acc': 17.6, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(21.31), 'acc': 27.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
