,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls-1,1,1,12,58.46,63.76,73.57,68.77,67.71,17.6,27.6,66.49,55.495000000000005,60.90857142857143
1,bert-base-uncased,_mean-1,1,1,12,72.43,63.76,90.15,87.09,80.83,17.6,27.6,66.49,63.243750000000006,69.76428571428572
2,bert-base-uncased,_mean_exclude_cls_sep-1,1,1,12,72.6,63.76,90.08,87.99,80.45,17.6,27.6,66.49,63.321250000000006,69.85285714285715
3,bert-base-uncased,_concat_cls_with_mean-1,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.4,33.51,41.43249999999999,43.25999999999999
4,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,1,1,12,50.0,63.76,50.0,31.23,80.4,28.64,25.6,33.51,45.3925,47.785714285714285
5,bert-base-uncased,_concat_mean_3_tokens-1,1,1,12,50.0,36.24,50.0,68.77,77.81,39.41,30.0,66.49,52.34,54.18714285714286
6,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,1,1,12,50.0,36.24,50.0,68.77,78.03,39.59,48.6,66.49,54.715,56.87571428571429
7,bert-base-uncased,_concat_mean_5_tokens-1,1,1,12,50.0,63.76,50.0,31.23,77.54,27.06,40.0,33.51,46.637499999999996,49.43428571428571
8,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,1,1,12,50.0,63.76,50.0,68.77,50.08,26.74,39.8,33.51,47.832499999999996,50.84571428571428
9,bert-base-uncased,_cls-2,1,1,12,61.11,63.76,83.47,68.77,74.57,17.6,27.6,66.49,57.92125000000001,63.681428571428576
10,bert-base-uncased,_mean-2,1,1,12,72.51,63.76,91.15,86.17,80.12,17.6,27.6,66.49,63.17500000000001,69.6857142857143
11,bert-base-uncased,_mean_exclude_cls_sep-2,1,1,12,72.93,63.76,91.2,87.88,79.85,17.6,27.6,66.49,63.41375000000001,69.95857142857143
12,bert-base-uncased,_concat_cls_with_mean-2,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,23.2,33.51,41.28249999999999,43.08857142857142
13,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-2,1,1,12,50.0,63.76,50.0,31.23,79.41,28.64,25.6,33.51,45.26875,47.644285714285715
14,bert-base-uncased,_concat_mean_3_tokens-2,1,1,12,50.0,36.24,50.0,68.77,77.92,39.82,29.0,66.49,52.28,54.06
15,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,1,1,12,50.0,36.24,50.0,68.77,77.1,39.28,35.4,66.49,52.91,54.857142857142854
16,bert-base-uncased,_concat_mean_5_tokens-2,1,1,12,50.0,63.76,50.0,31.23,77.43,27.78,40.0,33.51,46.71374999999999,49.41857142857142
17,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,1,1,12,50.0,63.76,50.0,68.77,50.08,27.15,39.8,33.51,47.88374999999999,50.84571428571428
18,bert-base-uncased,_cls-3,1,1,12,61.85,63.76,83.58,68.77,74.74,17.6,27.6,66.49,58.048750000000005,63.82714285714286
19,bert-base-uncased,_mean-3,1,1,12,73.25,63.76,90.93,85.12,80.56,17.6,27.6,66.49,63.16375000000001,69.67285714285715
20,bert-base-uncased,_mean_exclude_cls_sep-3,1,1,12,73.6,63.76,91.28,87.91,80.72,17.6,27.6,66.49,63.620000000000005,70.19428571428571
21,bert-base-uncased,_concat_cls_with_mean-3,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.8,33.51,41.482499999999995,43.317142857142855
22,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-3,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.6,33.51,41.707499999999996,43.574285714285715
23,bert-base-uncased,_concat_mean_3_tokens-3,1,1,12,50.0,36.24,50.0,68.77,77.7,40.09,50.0,66.49,54.911249999999995,57.028571428571425
24,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-3,1,1,12,50.0,36.24,50.0,68.77,78.03,40.5,29.8,66.49,52.47875,54.19
25,bert-base-uncased,_concat_mean_5_tokens-3,1,1,12,50.0,63.76,50.0,31.23,78.03,27.78,39.8,33.51,46.763749999999995,49.47571428571428
26,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-3,1,1,12,50.0,63.76,50.0,68.77,50.08,27.74,39.6,33.51,47.9325,50.817142857142855
27,bert-base-uncased,_cls-4,1,1,12,66.87,63.76,88.87,68.77,75.62,17.6,27.6,66.49,59.447500000000005,65.42571428571429
28,bert-base-uncased,_mean-4,1,1,12,73.51,63.76,91.57,68.77,81.33,17.6,27.6,66.49,61.32875000000001,67.57571428571428
29,bert-base-uncased,_mean_exclude_cls_sep-4,1,1,12,73.35,63.76,91.6,87.81,81.44,17.6,27.6,66.49,63.706250000000004,70.29285714285714
30,bert-base-uncased,_concat_cls_with_mean-4,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,26.4,33.51,41.68249999999999,43.545714285714276
31,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-4,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,25.2,33.51,41.53249999999999,43.374285714285705
32,bert-base-uncased,_concat_mean_3_tokens-4,1,1,12,50.0,36.24,50.0,68.77,78.03,40.81,50.0,66.49,55.0425,57.075714285714284
33,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-4,1,1,12,50.0,36.24,50.0,68.77,78.8,41.54,29.4,66.49,52.655,54.24285714285714
34,bert-base-uncased,_concat_mean_5_tokens-4,1,1,12,50.0,63.76,50.0,31.23,78.03,27.74,39.8,33.51,46.75875,49.47571428571428
35,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-4,1,1,12,50.0,63.76,50.0,68.77,50.08,27.51,39.8,33.51,47.928749999999994,50.84571428571428
36,bert-base-uncased,_cls-5,1,1,12,67.32,63.76,90.47,68.77,76.11,17.6,27.6,66.49,59.76500000000001,65.78857142857143
37,bert-base-uncased,_mean-5,1,1,12,75.02,63.76,92.03,85.36,81.33,17.6,27.6,66.49,63.64875000000001,70.22714285714287
38,bert-base-uncased,_mean_exclude_cls_sep-5,1,1,12,74.81,63.76,92.07,87.46,81.93,17.6,27.6,66.49,63.965,70.58857142857143
39,bert-base-uncased,_concat_cls_with_mean-5,1,1,12,50.0,63.76,50.0,31.23,49.92,28.64,24.8,33.51,41.482499999999995,43.317142857142855
40,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-5,1,1,12,50.0,63.76,50.0,31.23,79.74,28.64,28.2,33.51,45.63499999999999,48.06285714285713
41,bert-base-uncased,_concat_mean_3_tokens-5,1,1,12,50.0,36.24,50.0,68.77,78.97,42.99,49.4,66.49,55.3575,57.12428571428571
42,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-5,1,1,12,50.0,36.24,50.0,68.77,78.64,42.44,48.4,66.49,55.122499999999995,56.93428571428571
