,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls-1,1,1,12,59.17,63.76,73.81,68.77,69.84,20.8,21.31,67.54,55.62500000000001,60.60000000000001
1,bert-base-uncased,_mean-1,1,1,12,73.01,63.76,90.65,87.32,80.05,20.8,21.31,67.54,63.05500000000001,69.09142857142858
2,bert-base-uncased,_mean_exclude_cls_sep-1,1,1,12,73.26,63.76,90.79,88.41,79.82,20.8,21.31,67.54,63.21125000000001,69.27000000000001
3,bert-base-uncased,_concat_cls_with_mean-1,1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.94,32.46,41.19499999999999,43.32999999999999
4,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-1,1,1,12,50.0,63.76,50.0,31.23,77.98,26.25,25.07,32.46,44.59374999999999,47.21428571428571
5,bert-base-uncased,_concat_mean_3_tokens-1,1,1,12,50.0,36.24,50.0,68.77,76.72,39.06,39.64,67.54,53.49625,55.55857142857143
6,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-1,1,1,12,50.0,36.24,50.0,68.77,76.49,39.33,35.49,67.54,52.9825,54.932857142857145
7,bert-base-uncased,_concat_mean_5_tokens-1,1,1,12,50.0,63.76,50.0,31.23,76.61,28.16,41.07,32.46,46.661249999999995,49.304285714285705
8,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-1,1,1,12,50.0,63.76,50.0,68.77,49.08,28.43,40.63,32.46,47.89124999999999,50.671428571428564
9,bert-base-uncased,_cls-2,1,1,12,62.03,63.76,84.43,68.77,75.69,20.8,21.31,67.54,58.041250000000005,63.361428571428576
10,bert-base-uncased,_mean-2,1,1,12,73.85,63.76,91.89,87.16,80.28,20.8,21.31,67.54,63.32375,69.39857142857143
11,bert-base-uncased,_mean_exclude_cls_sep-2,1,1,12,74.02,63.76,91.95,88.16,80.16,20.8,21.31,67.54,63.4625,69.55714285714285
12,bert-base-uncased,_concat_cls_with_mean-2,1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,25.02,32.46,41.20499999999999,43.34142857142856
13,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-2,1,1,12,50.0,63.76,50.0,31.23,77.87,26.25,25.33,32.46,44.6125,47.23571428571428
14,bert-base-uncased,_concat_mean_3_tokens-2,1,1,12,50.0,36.24,50.0,68.77,77.06,38.78,39.42,67.54,53.47625000000001,55.57571428571429
15,bert-base-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-2,1,1,12,50.0,36.24,50.0,68.77,76.72,39.24,40.98,67.54,53.68625000000001,55.75000000000001
16,bert-base-uncased,_concat_mean_5_tokens-2,1,1,12,50.0,63.76,50.0,31.23,77.52,28.16,41.23,32.46,46.795,49.457142857142856
17,bert-base-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-2,1,1,12,50.0,63.76,50.0,68.77,49.08,28.07,41.01,32.46,47.89374999999999,50.725714285714275
18,bert-base-uncased,_cls-3,1,1,12,62.27,63.76,84.38,68.77,75.46,20.8,21.31,67.54,58.03625,63.355714285714285
19,bert-base-uncased,_mean-3,1,1,12,74.41,63.76,91.78,69.65,81.77,20.8,21.31,67.54,61.377500000000005,67.17428571428572
20,bert-base-uncased,_mean_exclude_cls_sep-3,1,1,12,74.73,63.76,91.8,88.13,82.34,20.8,21.31,67.54,63.80125,69.94428571428571
21,bert-base-uncased,_concat_cls_with_mean-3,1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,24.82,32.46,41.17999999999999,43.31285714285713
22,bert-base-uncased,_concat_cls_with_mean_exclude_cls_sep-3,1,1,12,50.0,63.76,50.0,31.23,50.92,26.25,25.28,32.46,41.23749999999999,43.37857142857142
