Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
PromptEOL (Lllama2-7B),llm,768,not,not,not defined,90.63,92.87,96.32,91.19,95.0,95.4,75.19,90.94
PromptEOL + TP (Ours) (Lllama2-7B),llm,768,not,not,not defined,90.9,93.35,96.58,91.51,95.5,96.0,76.12,91.42
Pretended CoT (Lllama2-7B),llm,768,not,not,not defined,90.1,92.24,96.32,91.54,95.11,94.2,75.77,90.75
Pretended CoT + TP (Ours) (Lllama2-7B),llm,768,not,not,not defined,90.45,92.61,96.52,91.59,95.77,96.0,76.81,91.39
Knowledge (Lllama2-7B),llm,768,not,not,not defined,89.84,93.03,96.21,91.54,94.78,97.2,73.91,90.93
Knowledge + TP (Ours) (Lllama2-7B),llm,768,not,not,not defined,90.39,93.32,96.31,91.56,94.51,97.6,76.06,91.39
CLTC-RoBERTa=Base,,768,5,12,not defined,86.86,92.35,94.31,89.91,91.36,87.73,77.14,88.52
CLTC-BERT=Base,,768,5,12,not defined,83.75,89.88,95.11,88.29,88.36,89.99,74.63,87.14
CLTC-RoBERTa=Base,,768,1,12,not defined,83.44,88.87,95.32,87.84,89.38,83.98,74.66,86.21
CLTC-BERT=Base,,768,1,12,not defined,81.52,86.61,95.17,89.95,87.16,83.06,76.63,85.73
HNCSE-PM (bert-base),cls,768,1,12,not defined,81.94,86.99,95.2,89.77,86.81,85.31,75.49,85.93
HNCSE-HNM (bert-base),cls,768,1,12,not defined,81.64,86.84,95.11,89.66,86.81,83.9,75.91,85.7
WordFS-P-woP-150D,mean,768,1,1,not defined,73.09,74.86,89.86,86.24,76.22,65.4,71.01,76.67
WordFS-P-wP-150D,mean,768,1,1,not defined,74.03,76.0,89.2,86.24,76.5,65.2,70.38,76.69
WordFS-P-woP-100D,mean,768,1,1,not defined,72.24,73.96,88.62,85.26,73.97,62.0,71.42,75.35
WordFS-P-wP-100D,mean,768,1,1,not defined,72.68,75.42,88.25,85.5,76.94,64.4,71.59,76.4
WordFS-P-woP-50D,mean,768,1,1,not defined,68.54,70.54,85.51,81.35,69.85,56.2,71.65,71.95
WordFS-P-wP-50D,mean,768,1,1,not defined,69.96,71.05,84.25,83.29,72.1,56.6,71.3,72.65
bert-base,CLS_LYR-7,torch.Size([768]),1,12,0,73.59,73.17,93.29,86.36,81.93,77.8,69.33,79.35285714285715
bert-base,AVG_LYR-7,torch.Size([768]),1,12,0,77.87,80.45,94.13,87.94,83.36,91.0,74.61,84.19428571428571
bert-base,SUM_LYR-7,torch.Size([768]),1,12,0,74.82,79.76,92.72,87.57,83.25,89.8,64.7,81.80285714285715
bert-base,MAX_LYR-7,torch.Size([768]),1,12,0,72.92,68.77,91.33,86.98,79.68,86.6,67.77,79.14999999999999
bert-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,77.86,80.93,93.83,88.51,83.03,91.0,73.8,84.13714285714285
bert-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,75.87,79.63,92.55,87.33,83.03,89.8,64.06,81.75285714285714
bert-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,72.84,72.08,91.15,87.44,80.12,86.6,67.94,79.73857142857143
bert-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,78.61,79.39,94.45,88.78,83.91,91.2,74.84,84.45428571428572
bert-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,76.08,79.79,92.94,88.36,83.42,91.4,67.88,82.83857142857143
bert-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,76.39,77.17,93.16,87.95,83.25,92.4,69.74,82.86571428571429
bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,78.99,80.05,94.37,89.0,85.28,91.0,74.26,84.70714285714284
bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,75.03,79.68,93.01,88.44,82.65,91.0,68.75,82.65142857142858
bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,76.34,77.14,93.06,88.48,83.14,91.2,69.91,82.75285714285714
bert-base,DY3_LYR-7,torch.Size([2304]),1,12,0,79.15,81.16,94.58,89.03,80.72,91.8,68.29,83.53285714285713
bert-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,78.68,80.87,94.5,88.57,80.94,92.0,67.54,83.29999999999998
bert-base,DY5_LYR-7,torch.Size([3840]),1,12,0,78.2,81.85,94.87,88.53,79.46,91.8,69.16,83.41
bert-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,78.37,81.09,94.52,68.77,50.08,93.6,64.35,75.82571428571428
