Modelo;Pooling;out_emb_size;epochs;qtd_layers;nhid;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
PromptEOL (Lllama2-7B);llm;768,00;not;not;not defined;90,63;92,87;96,32;91,19;95,00;95,40;75,19;90,94
PromptEOL + TP (Ours) (Lllama2-7B);llm;768,00;not;not;not defined;90,90;93,35;96,58;91,51;95,50;96,00;76,12;91,42
Pretended CoT (Lllama2-7B);llm;768,00;not;not;not defined;90,10;92,24;96,32;91,54;95,11;94,20;75,77;90,75
Pretended CoT + TP (Ours) (Lllama2-7B);llm;768,00;not;not;not defined;90,45;92,61;96,52;91,59;95,77;96,00;76,81;91,39
Knowledge (Lllama2-7B);llm;768,00;not;not;not defined;89,84;93,03;96,21;91,54;94,78;97,20;73,91;90,93
Knowledge + TP (Ours) (Lllama2-7B);llm;768,00;not;not;not defined;90,39;93,32;96,31;91,56;94,51;97,60;76,06;91,39
CLTC-RoBERTa=Base;nan;768,00;5;12;not defined;86,86;92,35;94,31;89,91;91,36;87,73;77,14;88,52
CLTC-BERT=Base;nan;768,00;5;12;not defined;83,75;89,88;95,11;88,29;88,36;89,99;74,63;87,14
CLTC-RoBERTa=Base;nan;768,00;1;12;not defined;83,44;88,87;95,32;87,84;89,38;83,98;74,66;86,21
CLTC-BERT=Base;nan;768,00;1;12;not defined;81,52;86,61;95,17;89,95;87,16;83,06;76,63;85,73
HNCSE-PM (bert-base);cls;768,00;1;12;not defined;81,94;86,99;95,20;89,77;86,81;85,31;75,49;85,93
HNCSE-HNM (bert-base);cls;768,00;1;12;not defined;81,64;86,84;95,11;89,66;86,81;83,90;75,91;85,70
WordFS-P-woP-150D;mean;768,00;1;1;not defined;73,09;74,86;89,86;86,24;76,22;65,40;71,01;76,67
WordFS-P-wP-150D;mean;768,00;1;1;not defined;74,03;76,00;89,20;86,24;76,50;65,20;70,38;76,69
WordFS-P-woP-100D;mean;768,00;1;1;not defined;72,24;73,96;88,62;85,26;73,97;62,00;71,42;75,35
WordFS-P-wP-100D;mean;768,00;1;1;not defined;72,68;75,42;88,25;85,50;76,94;64,40;71,59;76,40
WordFS-P-woP-50D;mean;768,00;1;1;not defined;68,54;70,54;85,51;81,35;69,85;56,20;71,65;71,95
WordFS-P-wP-50D;mean;768,00;1;1;not defined;69,96;71,05;84,25;83,29;72,10;56,60;71,30;72,65
bert-base;CLS_LYR-7;torch.Size([768]);1,00;12,00;0,00;73,59;73,17;93,29;86,36;81,93;77,80;69,33;79,35
bert-base;AVG_LYR-7;torch.Size([768]);1,00;12,00;0,00;77,87;80,45;94,13;87,94;83,36;91,00;74,61;84,19
bert-base;SUM_LYR-7;torch.Size([768]);1,00;12,00;0,00;74,82;79,76;92,72;87,57;83,25;89,80;64,70;81,80
bert-base;MAX_LYR-7;torch.Size([768]);1,00;12,00;0,00;72,92;68,77;91,33;86,98;79,68;86,60;67,77;79,15
bert-base;AVG-NS_LYR-7;torch.Size([768]);1,00;12,00;0,00;77,86;80,93;93,83;88,51;83,03;91,00;73,80;84,14
bert-base;SUM-NS_LYR-7;torch.Size([768]);1,00;12,00;0,00;75,87;79,63;92,55;87,33;83,03;89,80;64,06;81,75
bert-base;MAX-NS_LYR-7;torch.Size([768]);1,00;12,00;0,00;72,84;72,08;91,15;87,44;80,12;86,60;67,94;79,74
bert-base;CLS+AVG_LYR-7;torch.Size([1536]);1,00;12,00;0,00;78,61;79,39;94,45;88,78;83,91;91,20;74,84;84,45
bert-base;CLS+SUM_LYR-7;torch.Size([1536]);1,00;12,00;0,00;76,08;79,79;92,94;88,36;83,42;91,40;67,88;82,84
bert-base;CLS+MAX_LYR-7;torch.Size([1536]);1,00;12,00;0,00;76,39;77,17;93,16;87,95;83,25;92,40;69,74;82,87
bert-base;CLS+AVG-NS_LYR-7;torch.Size([1536]);1,00;12,00;0,00;78,99;80,05;94,37;89,00;85,28;91,00;74,26;84,71
bert-base;CLS+SUM-NS_LYR-7;torch.Size([1536]);1,00;12,00;0,00;75,03;79,68;93,01;88,44;82,65;91,00;68,75;82,65
bert-base;CLS+MAX-NS_LYR-7;torch.Size([1536]);1,00;12,00;0,00;76,34;77,14;93,06;88,48;83,14;91,20;69,91;82,75
bert-base;DY3_LYR-7;torch.Size([2304]);1,00;12,00;0,00;79,15;81,16;94,58;89,03;80,72;91,80;68,29;83,53
bert-base;DY3-NS_LYR-7;torch.Size([2304]);1,00;12,00;0,00;78,68;80,87;94,50;88,57;80,94;92,00;67,54;83,30
bert-base;DY5_LYR-7;torch.Size([3840]);1,00;12,00;0,00;78,20;81,85;94,87;88,53;79,46;91,80;69,16;83,41
bert-base;DY5-NS_LYR-7;torch.Size([3840]);1,00;12,00;0,00;78,37;81,09;94,52;68,77;50,08;93,60;64,35;75,83
bert-base;CLS_LYR-8;torch.Size([768]);1,00;12,00;0,00;76,14;73,69;93,13;86,97;83,36;78,00;69,51;80,11
bert-base;AVG_LYR-8;torch.Size([768]);1,00;12,00;0,00;79,95;82,65;94,17;88,43;84,95;92,00;74,14;85,18
bert-base;SUM_LYR-8;torch.Size([768]);1,00;12,00;0,00;77,15;81,54;93,51;87,82;83,42;89,80;61,10;82,05
bert-base;MAX_LYR-8;torch.Size([768]);1,00;12,00;0,00;74,49;73,40;91,67;87,24;80,83;87,40;70,96;80,86
bert-base;AVG-NS_LYR-8;torch.Size([768]);1,00;12,00;0,00;79,74;82,65;94,16;88,79;84,73;91,80;74,26;85,16
bert-base;SUM-NS_LYR-8;torch.Size([768]);1,00;12,00;0,00;76,80;81,56;93,44;87,55;83,20;90,00;64,00;82,36
bert-base;MAX-NS_LYR-8;torch.Size([768]);1,00;12,00;0,00;74,97;76,05;91,73;87,15;81,60;89,60;69,51;81,52
bert-base;CLS+AVG_LYR-8;torch.Size([1536]);1,00;12,00;0,00;80,08;81,91;94,25;88,95;85,50;91,20;75,36;85,32
bert-base;CLS+SUM_LYR-8;torch.Size([1536]);1,00;12,00;0,00;76,75;82,28;93,57;88,05;84,95;91,80;61,62;82,72
bert-base;CLS+MAX_LYR-8;torch.Size([1536]);1,00;12,00;0,00;78,09;78,22;93,52;87,95;85,72;92,20;71,01;83,82
bert-base;CLS+AVG-NS_LYR-8;torch.Size([1536]);1,00;12,00;0,00;80,39;82,59;94,34;89,22;86,33;91,40;74,78;85,58
bert-base;CLS+SUM-NS_LYR-8;torch.Size([1536]);1,00;12,00;0,00;77,15;82,33;93,60;88,21;84,35;91,40;61,57;82,66
bert-base;CLS+MAX-NS_LYR-8;torch.Size([1536]);1,00;12,00;0,00;77,99;78,75;93,62;88,47;85,61;92,00;70,90;83,91
bert-base;DY3_LYR-8;torch.Size([2304]);1,00;12,00;0,00;80,38;83,58;94,54;89,39;81,11;92,20;68,99;84,31
bert-base;DY3-NS_LYR-8;torch.Size([2304]);1,00;12,00;0,00;79,78;83,97;94,63;89,02;82,10;91,80;67,71;84,14
bert-base;DY5_LYR-8;torch.Size([3840]);1,00;12,00;0,00;80,55;83,23;94,68;88,85;81,44;93,80;68,75;84,47
bert-base;DY5-NS_LYR-8;torch.Size([3840]);1,00;12,00;0,00;79,76;84,40;94,78;68,77;50,08;94,40;66,49;76,95
bert-base;CLS_LYR-9;torch.Size([768]);1,00;12,00;0,00;79,33;81,17;93,98;87,32;84,29;82,00;71,36;82,78
bert-base;AVG_LYR-9;torch.Size([768]);1,00;12,00;0,00;80,64;85,17;94,04;88,18;85,34;90,40;73,74;85,36
bert-base;SUM_LYR-9;torch.Size([768]);1,00;12,00;0,00;79,44;83,60;93,34;87,08;85,83;92,20;67,19;84,10
bert-base;MAX_LYR-9;torch.Size([768]);1,00;12,00;0,00;77,52;77,99;92,10;86,85;82,65;89,80;72,12;82,72
bert-base;AVG-NS_LYR-9;torch.Size([768]);1,00;12,00;0,00;80,76;85,27;94,13;87,82;85,45;90,00;74,26;85,38
bert-base;SUM-NS_LYR-9;torch.Size([768]);1,00;12,00;0,00;78,95;83,37;93,46;87,25;85,34;91,80;67,07;83,89
bert-base;MAX-NS_LYR-9;torch.Size([768]);1,00;12,00;0,00;77,53;78,30;92,39;86,69;82,70;90,40;70,78;82,68
bert-base;CLS+AVG_LYR-9;torch.Size([1536]);1,00;12,00;0,00;81,46;85,38;94,70;88,69;86,93;92,00;74,96;86,30
bert-base;CLS+SUM_LYR-9;torch.Size([1536]);1,00;12,00;0,00;78,00;83,39;93,45;88,24;85,50;91,60;70,61;84,40
bert-base;CLS+MAX_LYR-9;torch.Size([1536]);1,00;12,00;0,00;80,65;81,91;93,91;88,55;86,00;93,00;72,70;85,25
bert-base;CLS+AVG-NS_LYR-9;torch.Size([1536]);1,00;12,00;0,00;81,21;84,29;94,85;88,94;87,37;91,40;74,90;86,14
bert-base;CLS+SUM-NS_LYR-9;torch.Size([1536]);1,00;12,00;0,00;79,16;84,35;93,94;88,10;85,72;91,20;65,04;83,93
bert-base;CLS+MAX-NS_LYR-9;torch.Size([1536]);1,00;12,00;0,00;80,78;82,91;94,38;88,92;86,99;93,20;72,58;85,68
bert-base;DY3_LYR-9;torch.Size([2304]);1,00;12,00;0,00;80,90;85,93;94,95;89,19;83,36;92,40;70,43;85,31
bert-base;DY3-NS_LYR-9;torch.Size([2304]);1,00;12,00;0,00;81,24;85,61;94,85;88,84;83,25;91,60;70,26;85,09
bert-base;DY5_LYR-9;torch.Size([3840]);1,00;12,00;0,00;81,79;86,25;95,10;88,56;83,14;93,80;68,75;85,34
bert-base;DY5-NS_LYR-9;torch.Size([3840]);1,00;12,00;0,00;81,62;86,60;95,02;68,77;50,08;93,60;65,68;77,34
bert-base;CLS_LYR-10;torch.Size([768]);1,00;12,00;0,00;81,21;82,83;94,10;87,08;86,44;83,80;70,32;83,68
bert-base;AVG_LYR-10;torch.Size([768]);1,00;12,00;0,00;80,76;85,27;94,20;88,05;85,94;88,80;74,14;85,31
bert-base;SUM_LYR-10;torch.Size([768]);1,00;12,00;0,00;78,22;83,97;93,56;87,51;85,61;90,20;68,29;83,91
bert-base;MAX_LYR-10;torch.Size([768]);1,00;12,00;0,00;78,96;78,97;93,17;87,26;84,62;89,00;71,65;83,38
bert-base;AVG-NS_LYR-10;torch.Size([768]);1,00;12,00;0,00;80,84;85,06;94,09;87,87;85,72;89,00;73,45;85,15
bert-base;SUM-NS_LYR-10;torch.Size([768]);1,00;12,00;0,00;76,95;83,39;93,68;86,58;84,62;90,80;66,96;83,28
bert-base;MAX-NS_LYR-10;torch.Size([768]);1,00;12,00;0,00;78,51;79,31;92,89;86,82;84,29;89,40;70,61;83,12
bert-base;CLS+AVG_LYR-10;torch.Size([1536]);1,00;12,00;0,00;82,29;85,64;94,85;88,67;87,31;90,80;75,13;86,38
bert-base;CLS+SUM_LYR-10;torch.Size([1536]);1,00;12,00;0,00;77,92;83,71;93,78;88,27;86,77;89,40;68,23;84,01
bert-base;CLS+MAX_LYR-10;torch.Size([1536]);1,00;12,00;0,00;81,63;85,17;94,40;88,22;86,82;90,40;70,96;85,37
bert-base;CLS+AVG-NS_LYR-10;torch.Size([1536]);1,00;12,00;0,00;82,22;84,85;94,88;89,04;87,26;91,00;75,25;86,36
bert-base;CLS+SUM-NS_LYR-10;torch.Size([1536]);1,00;12,00;0,00;78,51;83,42;93,84;88,45;86,16;89,60;68,64;84,09
bert-base;CLS+MAX-NS_LYR-10;torch.Size([1536]);1,00;12,00;0,00;81,71;83,74;94,61;88,29;87,10;90,60;72,06;85,44
bert-base;DY3_LYR-10;torch.Size([2304]);1,00;12,00;0,00;81,47;86,57;94,64;88,89;84,18;91,20;72,06;85,57
bert-base;DY3-NS_LYR-10;torch.Size([2304]);1,00;12,00;0,00;81,27;86,78;95,03;88,68;83,96;91,20;70,03;85,28
bert-base;DY5_LYR-10;torch.Size([3840]);1,00;12,00;0,00;81,57;86,81;94,94;88,70;84,24;92,40;65,62;84,90
bert-base;DY5-NS_LYR-10;torch.Size([3840]);1,00;12,00;0,00;81,77;86,12;95,11;68,77;50,08;93,40;69,28;77,79
bert-base;CLS_LYR-11;torch.Size([768]);1,00;12,00;0,00;81,67;84,03;94,55;87,67;87,10;86,00;70,55;84,51
bert-base;AVG_LYR-11;torch.Size([768]);1,00;12,00;0,00;80,33;84,93;94,33;88,00;85,06;87,80;73,97;84,92
bert-base;SUM_LYR-11;torch.Size([768]);1,00;12,00;0,00;78,06;83,68;93,60;87,11;85,34;90,40;64,46;83,24
bert-base;MAX_LYR-11;torch.Size([768]);1,00;12,00;0,00;77,78;79,79;93,33;87,37;83,96;85,60;72,29;82,87
bert-base;AVG-NS_LYR-11;torch.Size([768]);1,00;12,00;0,00;80,33;84,69;94,46;87,61;84,84;88,60;73,62;84,88
bert-base;SUM-NS_LYR-11;torch.Size([768]);1,00;12,00;0,00;77,40;83,84;93,52;86,68;84,84;90,00;63,71;82,86
bert-base;MAX-NS_LYR-11;torch.Size([768]);1,00;12,00;0,00;78,05;80,05;93,43;86,42;83,96;87,80;71,88;83,08
bert-base;CLS+AVG_LYR-11;torch.Size([1536]);1,00;12,00;0,00;82,28;85,03;94,90;88,55;87,48;89,80;73,04;85,87
bert-base;CLS+SUM_LYR-11;torch.Size([1536]);1,00;12,00;0,00;79,05;82,62;93,68;87,49;85,72;92,00;62,61;83,31
bert-base;CLS+MAX_LYR-11;torch.Size([1536]);1,00;12,00;0,00;81,70;83,29;94,78;87,87;86,71;90,20;75,01;85,65
bert-base;CLS+AVG-NS_LYR-11;torch.Size([1536]);1,00;12,00;0,00;82,10;84,98;95,12;88,40;87,42;90,00;73,04;85,87
bert-base;CLS+SUM-NS_LYR-11;torch.Size([1536]);1,00;12,00;0,00;78,77;82,49;93,71;87,64;86,00;92,20;60,06;82,98
bert-base;CLS+MAX-NS_LYR-11;torch.Size([1536]);1,00;12,00;0,00;81,61;83,42;94,89;87,94;86,77;90,20;75,01;85,69
bert-base;DY3_LYR-11;torch.Size([2304]);1,00;12,00;0,00;80,93;85,53;95,04;88,55;83,64;92,00;71,54;85,32
