Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
,PromptEOL (Lllama2-7B),not defined,llm,not,not,90.63,92.87,96.32,91.19,95.0,95.4,75.19,90.94
,PromptEOL + TP (Ours) (Lllama2-7B),not defined,llm,not,not,90.9,93.35,96.58,91.51,95.5,96.0,76.12,91.42
,Pretended CoT (Lllama2-7B),not defined,llm,not,not,90.1,92.24,96.32,91.54,95.11,94.2,75.77,90.75
,Pretended CoT + TP (Ours) (Lllama2-7B),not defined,llm,not,not,90.45,92.61,96.52,91.59,95.77,96.0,76.81,91.39
,Knowledge (Lllama2-7B),not defined,llm,not,not,89.84,93.03,96.21,91.54,94.78,97.2,73.91,90.93
,Knowledge + TP (Ours) (Lllama2-7B),not defined,llm,not,not,90.39,93.32,96.31,91.56,94.51,97.6,76.06,91.39
,CLTC-RoBERTa=Large,not defined,,5,24,88.22,92.54,95.14,90.12,92.57,91.99,77.27,89.69
,CLTC-RoBERTa=Large,not defined,,1,24,81.83,88.92,93.52,89.88,88.94,92.36,76.47,87.42
,HNCSE-PM (bert-large),not defined,cls,1,24,84.91,89.32,95.0,90.02,89.68,86.85,75.49,87.32
,HNCSE-HNM (bert-large),not defined,cls,1,24,85.89,90.57,96.06,89.91,89.91,85.91,76.47,87.82
,WordFS-P-woP-150D,not defined,mean,1,1,73.09,74.86,89.86,86.24,76.22,65.4,71.01,76.67
,WordFS-P-wP-150D,not defined,mean,1,1,74.03,76.0,89.2,86.24,76.5,65.2,70.38,76.69
,WordFS-P-woP-100D,not defined,mean,1,1,72.24,73.96,88.62,85.26,73.97,62.0,71.42,75.35
,WordFS-P-wP-100D,not defined,mean,1,1,72.68,75.42,88.25,85.5,76.94,64.4,71.59,76.4
,WordFS-P-woP-50D,not defined,mean,1,1,68.54,70.54,85.51,81.35,69.85,56.2,71.65,71.95
