Unnamed: 0;Modelo;nhid;Pooling;epochs;qtd_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
nan;PromptEOL (Lllama2-7B);not defined;llm;not;not;90,63;92,87;96,32;91,19;95,00;95,40;75,19;90,94
nan;PromptEOL + TP (Ours) (Lllama2-7B);not defined;llm;not;not;90,90;93,35;96,58;91,51;95,50;96,00;76,12;91,42
nan;Pretended CoT (Lllama2-7B);not defined;llm;not;not;90,10;92,24;96,32;91,54;95,11;94,20;75,77;90,75
nan;Pretended CoT + TP (Ours) (Lllama2-7B);not defined;llm;not;not;90,45;92,61;96,52;91,59;95,77;96,00;76,81;91,39
nan;Knowledge (Lllama2-7B);not defined;llm;not;not;89,84;93,03;96,21;91,54;94,78;97,20;73,91;90,93
nan;Knowledge + TP (Ours) (Lllama2-7B);not defined;llm;not;not;90,39;93,32;96,31;91,56;94,51;97,60;76,06;91,39
nan;CLTC-RoBERTa=Large;not defined;nan;5;24;88,22;92,54;95,14;90,12;92,57;91,99;77,27;89,69
nan;CLTC-RoBERTa=Large;not defined;nan;1;24;81,83;88,92;93,52;89,88;88,94;92,36;76,47;87,42
nan;HNCSE-PM (bert-large);not defined;cls;1;24;84,91;89,32;95,00;90,02;89,68;86,85;75,49;87,32
nan;HNCSE-HNM (bert-large);not defined;cls;1;24;85,89;90,57;96,06;89,91;89,91;85,91;76,47;87,82
nan;WordFS-P-woP-150D;not defined;mean;1;1;73,09;74,86;89,86;86,24;76,22;65,40;71,01;76,67
nan;WordFS-P-wP-150D;not defined;mean;1;1;74,03;76,00;89,20;86,24;76,50;65,20;70,38;76,69
nan;WordFS-P-woP-100D;not defined;mean;1;1;72,24;73,96;88,62;85,26;73,97;62,00;71,42;75,35
nan;WordFS-P-wP-100D;not defined;mean;1;1;72,68;75,42;88,25;85,50;76,94;64,40;71,59;76,40
nan;WordFS-P-woP-50D;not defined;mean;1;1;68,54;70,54;85,51;81,35;69,85;56,20;71,65;71,95
nan;WordFS-P-wP-50D;not defined;mean;1;1;69,96;71,05;84,25;83,29;72,10;56,60;71,30;72,65
0,00;bert-large-uncased;0,00;_cls-1;1,00;24,00;60,59;63,76;76,81;82,06;71,83;57,80;66,55;68,49
1,00;bert-large-uncased;0,00;_mean-1;1,00;24,00;74,24;74,20;90,56;87,84;81,44;80,20;73,04;80,22
